real_mean_1,real_mean_2,fake_mean_1,fake_mean_2,real_var_1,real_var_2,fake_var_1,fake_var_2,real_cov_12,fake_cov_12,real_corr,fake_corr,final_generator_loss,final_critic_loss,selected_epoch,best_val_w1,selected_val_w1,w1,w2,mean_error,var_error,gp_lambda,n_critic,seed,run_dir
0.03359191492199898,0.00651808176189661,0.18414518237113953,-0.20974066853523254,0.9720177054405212,1.0189571380615234,1.0935155153274536,0.9972059726715088,0.00406552292406559,-0.009124143980443478,0.004085087683051825,-0.008737499825656414,0.1456719997804612,0.14190568216145039,70,0.3223246749137422,0.3223246749137422,0.30666813048858405,0.35928241126349525,0.2635035812854767,0.07162448763847351,1.0,1,0,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
-0.023446308448910713,-0.0012986826477572322,0.257176011800766,-0.01477019116282463,1.047188639640808,0.9895831942558289,0.9761707186698914,0.9037381410598755,0.024037405848503113,-0.03936195746064186,0.02361288107931614,-0.041907574981451035,1.4807178139686585,0.155218661762774,70,0.26514559691213113,0.26514559691213113,0.3384838113872612,0.3932502430467241,0.2809455096721649,0.07843148708343506,1.0,1,1,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
-0.04733068123459816,-0.013395771384239197,0.169030100107193,0.16516445577144623,0.9716730117797852,1.025477647781372,0.8978704810142517,0.818952202796936,-0.008191823959350586,0.03657742589712143,-0.00820649042725563,0.04265569522976875,1.6867561876773833,0.13590102102607488,90,0.23615777157640414,0.23615777157640414,0.34214162946379273,0.3970159153521339,0.28052762150764465,0.14016398787498474,1.0,1,2,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
0.011548109352588654,0.004319261759519577,-0.04032403975725174,-0.37174689769744873,0.9489638209342957,0.941338300704956,0.889782726764679,0.9158505797386169,-0.0016979241045191884,0.0654725581407547,-0.0017964724684134126,0.07252787798643112,0.7643967539072036,0.0477082435041666,90,0.30729953915517455,0.30729953915517455,0.4690936299187608,0.5446919286255699,0.3796267509460449,0.042334407567977905,1.0,1,3,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
0.0345032662153244,-0.01906593330204487,0.06013580411672592,0.180052250623703,1.0286234617233276,0.9692937731742859,0.8237841129302979,1.151631474494934,0.0015001530991867185,0.007923569530248642,0.0015023796586319804,0.008134996518492699,2.9423755764961244,0.04859715877100825,140,0.2358733721413341,0.2358733721413341,0.26330520066761703,0.3251818336366052,0.20076124370098114,0.193588525056839,1.0,1,4,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
0.0007270955829881132,0.04412286356091499,0.05562099441885948,-0.021700041368603706,1.0429942607879639,0.9962249398231506,1.022774338722229,1.094250202178955,-0.02158362790942192,0.0014973483048379421,-0.02117409184575081,0.0014153850497677922,1.8843681275844575,0.08080686992034317,30,0.2756029224695053,0.2756029224695053,0.20413862042208777,0.2657318600034929,0.08570878207683563,0.05912259221076965,1.0,1,5,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
-0.006425597704946995,0.04434865713119507,-0.1888894885778427,0.2484757900238037,1.0035741329193115,0.9930002093315125,0.864081859588623,0.7828211784362793,-0.01790984906256199,-0.000850614276714623,-0.017940828576683998,-0.0010342461755499244,2.0290944457054136,0.07163061629980802,170,0.23238635406684408,0.23238635406684408,0.281162020286215,0.3386155462312335,0.2737899720668793,0.17483565211296082,1.0,1,6,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
0.008172658272087574,-0.0028530845884233713,-0.14828678965568542,-0.2643550932407379,0.9696036577224731,0.9726228713989258,0.8300932049751282,0.863885760307312,0.016808466985821724,-0.06568529456853867,0.017308473587036133,-0.07756692171096802,-0.05073453783988953,0.18039919752627612,30,0.28496803502040324,0.28496803502040324,0.3488359945279054,0.410267467395918,0.30473408102989197,0.12412378191947937,1.0,1,7,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
0.010517772287130356,-0.020015547052025795,-0.24961890280246735,-0.001134940655902028,0.9789043068885803,1.0551074743270874,1.183404564857483,0.945665717124939,0.01199630368500948,-0.01441100612282753,0.011803993955254555,-0.01362256333231926,2.075379711389542,0.08290090467780828,90,0.30543645598680075,0.30543645598680075,0.33998233672965267,0.44650781224707126,0.2608209550380707,0.1569710075855255,1.0,1,8,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
-0.030841773375868797,-0.014957192353904247,-0.056169863790273666,-0.19958670437335968,0.9964575171470642,1.0067390203475952,0.8809282779693604,0.769314706325531,0.00992116704583168,0.004811016842722893,0.009905465878546238,0.005844058934599161,0.496141642332077,0.14651599768549203,50,0.28713896601688077,0.28713896601688077,0.33233347662991974,0.39099202307823083,0.1863587200641632,0.17647677659988403,1.0,1,9,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1
