mean_error,diag_var_error,real_diag_var_mean,candidate_diag_var_mean,theoretical_diag_var,candidate_minus_theoretical_diag_var,offdiag_cov_error,cov_fro_error,avg_abs_corr,w1,w2,data_dim,rho,seed,method
0.11229297518730164,0.2455294132232666,0.9944843053817749,0.7489549517631531,0.7584962311319862,-0.009541279368833089,0.49204254150390625,4.738259792327881,0.017612800002098083,2.448719524641923,2.61348318147248,10,0.5,0,Best diagonal Gaussian
0.10868227481842041,0.19525554776191711,0.9944843053817749,0.8245226144790649,0.7584962311319862,0.06602638334707878,0.49033206701278687,4.713789939880371,0.016716046258807182,2.503293983274333,2.6762726258931337,10,0.5,0,WGAN
0.10751430690288544,0.03794797509908676,0.9944843053817749,1.0077388286590576,0.7584962311319862,0.24924259752707145,0.49382051825523376,4.694295883178711,0.018015634268522263,2.596717713366547,2.730943085327103,10,0.5,0,Product marginals
0.08324392139911652,0.29716211557388306,1.0205541849136353,0.723392128944397,0.7584962311319862,-0.03510410218758919,0.5180371403694153,5.0127482414245605,0.018020091578364372,2.403756207144792,2.57643498918005,10,0.5,1,WGAN
0.11941254138946533,0.2521117627620697,1.0205541849136353,0.7684425115585327,0.7584962311319862,0.00994628042654655,0.5188083052635193,4.994820594787598,0.01827927492558956,2.420524947829841,2.5780268489854983,10,0.5,1,Best diagonal Gaussian
0.10002309083938599,0.03726537153124809,1.0205541849136353,1.0108014345169067,0.7584962311319862,0.2523052033849206,0.5168797969818115,4.914025783538818,0.019057882949709892,2.601788544599103,2.746129648795874,10,0.5,1,Product marginals
0.08971953392028809,0.2543092966079712,1.0066943168640137,0.7523849606513977,0.7584962311319862,-0.00611127048058846,0.5113288164138794,4.923002243041992,0.01827964559197426,2.3773239604674083,2.5147182103995624,10,0.5,2,Best diagonal Gaussian
0.13076700270175934,0.2709673047065735,1.0066943168640137,0.7357269525527954,0.7584962311319862,-0.022769278579190755,0.5101276636123657,4.926399230957031,0.01779821328818798,2.3863803580617153,2.4979876843264353,10,0.5,2,WGAN
0.07760020345449448,0.01934492588043213,1.0066943168640137,0.9990547895431519,0.7584962311319862,0.2405585584111657,0.5146520733833313,4.889393329620361,0.014677644707262516,2.512405761848978,2.6268542628270053,10,0.5,2,Product marginals
0.10010694712400436,0.521399974822998,0.9909061193466187,0.4695061147212982,0.4745124725475825,-0.00500635782628428,0.7898746728897095,7.674271583557129,0.017612800002098083,2.3234979682474792,2.5544225952949957,10,0.8,0,Best diagonal Gaussian
0.16378946602344513,0.25409549474716187,0.9909061193466187,0.7881738543510437,0.4745124725475825,0.3136613818034612,0.7890063524246216,7.538876056671143,0.016848379746079445,2.6231419053252254,2.8353868467614953,10,0.8,0,WGAN
0.10478683561086655,0.03792024776339531,0.9909061193466187,1.0140892267227173,0.4745124725475825,0.5395767541751348,0.7896906733512878,7.496798992156982,0.019289711490273476,2.859354310965289,3.020262720267336,10,0.8,0,Product marginals
0.39047250151634216,0.5575045943260193,1.0360102653503418,0.4785057604312897,0.4745124725475825,0.003993287883707175,0.8348984718322754,8.11762523651123,0.018228020519018173,2.412245406784085,2.708620059474394,10,0.8,1,WGAN
0.08679316192865372,0.552139401435852,1.0360102653503418,0.4838709235191345,0.4745124725475825,0.009358450971552024,0.8353118300437927,8.116527557373047,0.01827927865087986,2.4224333454435576,2.7053836087929644,10,0.8,1,Best diagonal Gaussian
0.08190636336803436,0.025269359350204468,1.0360102653503418,1.0199007987976074,0.4745124725475825,0.545388326250025,0.8322906494140625,7.899544715881348,0.017284028232097626,2.880885097201359,3.0718811517918296,10,0.8,1,Product marginals
0.08264444023370743,0.5429776906967163,1.0155141353607178,0.4725363850593567,0.4745124725475825,-0.0019760874882258084,0.8167341351509094,7.937929630279541,0.018279647454619408,2.4293635013717094,2.6822159716432568,10,0.8,2,Best diagonal Gaussian
0.17293472588062286,0.3332650661468506,1.0155141353607178,0.6822490096092224,0.4745124725475825,0.20773653706163991,0.8160998821258545,7.822824001312256,0.017725277692079544,2.6031844996901223,2.812920138300361,10,0.8,2,WGAN
0.07505197077989578,0.022518640384078026,1.0155141353607178,1.0010507106781006,0.4745124725475825,0.5265382381305181,0.8193114399909973,7.775820255279541,0.015727408230304718,2.8660366423071117,3.038189802067933,10,0.8,2,Product marginals
0.36282697319984436,0.7977215647697449,0.9950445890426636,0.19732308387756348,0.6951723455104023,-0.4978492616328388,0.4948875308036804,10.299284934997559,0.018924670293927193,3.7369605244358515,4.007649409019689,20,0.5,0,WGAN
0.12028327584266663,0.2952030301094055,0.9950445890426636,0.6998416185379028,0.6951723455104023,0.004669273027500531,0.4948617219924927,9.75108814239502,0.018807662650942802,4.113576623160986,4.300540995255569,20,0.5,0,Best diagonal Gaussian
0.13134007155895233,0.03763607144355774,0.9950445890426636,0.994113564491272,0.6951723455104023,0.29894121898086967,0.49414294958114624,9.651741027832031,0.01779787428677082,4.4679330008785865,4.620601773965202,20,0.5,0,Product marginals
0.1391018182039261,0.3181409239768982,1.0163328647613525,0.6981920003890991,0.6951723455104023,0.0030196548786968203,0.5165972113609314,10.183161735534668,0.017162146046757698,4.056950774788237,4.187687911283656,20,0.5,1,Best diagonal Gaussian
0.2301507294178009,0.32485517859458923,1.0163328647613525,0.8420445322990417,0.6951723455104023,0.14687218678863945,0.5196845531463623,10.278051376342773,0.017634913325309753,4.222069872439109,4.359385885948313,20,0.5,1,WGAN
0.1465964913368225,0.04066834598779678,1.0163328647613525,1.0181223154067993,0.6951723455104023,0.322949969896397,0.5186201930046082,10.129021644592285,0.01775851659476757,4.399004519399441,4.522782760453844,20,0.5,1,Product marginals
0.2120756208896637,0.8150607943534851,1.00738525390625,0.19232459366321564,0.6951723455104023,-0.5028477518471867,0.5090838074684143,10.581780433654785,0.019458329305052757,3.822347915036722,4.062748503557954,20,0.5,2,WGAN
