data_dim,rho,num_seeds,selected_epoch_mean,selected_epoch_std,selected_eval_w1_mean,selected_eval_w1_std,selected_eval_mean_error_mean,selected_eval_mean_error_std,selected_eval_diag_var_error_mean,selected_eval_diag_var_error_std,selected_checkpoint_score_mean,selected_checkpoint_score_std,best_epoch_mean,best_epoch_std,best_eval_w1_mean,best_eval_w1_std,best_eval_mean_error_mean,best_eval_mean_error_std,best_eval_diag_var_error_mean,best_eval_diag_var_error_std,best_checkpoint_score_mean,best_checkpoint_score_std
10,0.5,3,108.33333333333333,23.570226039551585,2.286348296051678,0.027531837942016465,0.13249474515517554,0.0374258525195271,0.4894050757090251,0.0045404273127545814,2.789002846276221,0.035637310000343224,108.33333333333333,23.570226039551585,2.286348296051678,0.027531837942016465,0.13249474515517554,0.0374258525195271,0.4894050757090251,0.0045404273127545814,2.789002846276221,0.035637310000343224
10,0.8,3,108.33333333333333,31.18047822311618,2.3209063546628865,0.12969665724139273,0.10453558464845021,0.03431317076297726,0.8028066555658976,0.06236073215918573,3.134166568693629,0.1806733298358325,108.33333333333333,31.18047822311618,2.3209063546628865,0.12969665724139273,0.10453558464845021,0.03431317076297726,0.8028066555658976,0.06236073215918573,3.134166568693629,0.1806733298358325
20,0.5,3,125.0,20.412414523193153,3.895334682318494,0.07032744835902596,0.1730397641658783,0.026746969138212406,0.5014809866746267,0.017841772292739436,4.414119645409709,0.06905553537358532,125.0,20.412414523193153,3.895334682318494,0.07032744835902596,0.1730397641658783,0.026746969138212406,0.5014809866746267,0.017841772292739436,4.414119645409709,0.06905553537358532
20,0.8,3,141.66666666666666,11.785113019775793,3.8446957459839943,0.08046525595469534,0.1646768500407537,0.06314264749168023,0.7967235843340555,0.0069972561968457535,4.6578870153221255,0.07400085324513382,141.66666666666666,11.785113019775793,3.8446957459839943,0.08046525595469534,0.1646768500407537,0.06314264749168023,0.7967235843340555,0.0069972561968457535,4.6578870153221255,0.07400085324513382
