data_dim,rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,diag_var_error_mean,diag_var_error_std,real_diag_var_mean_mean,real_diag_var_mean_std,candidate_diag_var_mean_mean,candidate_diag_var_mean_std,theoretical_diag_var_mean,theoretical_diag_var_std,candidate_minus_theoretical_diag_var_mean,candidate_minus_theoretical_diag_var_std,offdiag_cov_error_mean,offdiag_cov_error_std,cov_fro_error_mean,cov_fro_error_std,avg_abs_corr_mean,avg_abs_corr_std
10,0.5,Best diagonal Gaussian,3,2.415522810979724,0.029360945440610728,2.568742746952514,0.04085156700933858,0.10714168349901836,0.012657554468497888,0.2506501575311025,0.003730398142347628,1.0072442690531414,0.010650085766764902,0.7565941413243612,0.008494278393831189,0.7584962311319862,0.0,-0.0019020898076249997,0.008494278393831189,0.5073932210604349,0.011275880172545102,4.885360876719157,0.10806947050757325,0.018057240173220634,0.00031426669526478515
10,0.5,Best W1 diagonal Gaussian,3,2.2912331698051447,0.01635070455930403,2.501392298753137,0.015077451581077428,0.08599715183178584,0.004456506737075776,0.7002564072608948,0.033067576973125505,1.0072442690531414,0.010650085766764902,0.30698790152867633,0.02502612594753682,0.7584962311319862,0.0,-0.45150832960330983,0.02502612594753682,0.5086788833141327,0.011799433296391174,5.314578215281169,0.14460097841851072,0.018443970009684563,0.00023265197107616938
10,0.5,Product marginals,3,2.5703040066048763,0.04099254722269795,2.701308998983327,0.05301124867785716,0.09504586706558864,0.012709391898673442,0.03151942417025566,0.008613179566392952,1.0072442690531414,0.010650085766764902,1.0058650175730388,0.00497522482067733,0.7584962311319862,0.0,0.24736878644105256,0.00497522482067733,0.5084507962067922,0.010385068217163172,4.832571665445964,0.0982915168185153,0.017250387308498222,0.0018683011797743147
10,0.5,WGAN,3,2.3281042976773767,0.011270052676427137,2.503331289709144,0.0372854786451409,0.15616404513518015,0.04154935071121963,0.4785865247249603,0.0216787950406204,1.0072442690531414,0.010650085766764902,0.5286577939987183,0.011939187878698855,0.7584962311319862,0.0,-0.2298384371332679,0.011939187878698855,0.5073078672091166,0.011488444711390376,5.052064259847005,0.12443398638166997,0.017087753241260845,0.0006240171494067949
10,0.8,Best diagonal Gaussian,3,2.391764938354249,0.04835487683757828,2.6473407252437386,0.0663803133850882,0.08984818309545517,0.0074491454754050225,0.5388390223185221,0.012886026516612418,1.0141435066858928,0.0184391786495401,0.4753044744332631,0.006182430591930069,0.4745124725475825,0.0,0.0007920018856806451,0.006182430591930069,0.8139735460281372,0.01865206783513633,7.909576257069905,0.18165997894095098,0.018057242035865784,0.000314268011988416
10,0.8,Best W1 diagonal Gaussian,3,2.2891106005683373,0.0685637026313216,2.6475692962862456,0.07529196657796863,0.06839155033230782,0.0097241550491458,0.8371778726577759,0.026753265152735888,1.0141435066858928,0.0184391786495401,0.1769656091928482,0.011744688189209823,0.4745124725475825,0.0,-0.2975468633547343,0.011744688189209823,0.8148436943689982,0.01876491333827236,8.172399679819742,0.19299912628312643,0.018443971251447994,0.00023265240960741802
10,0.8,Product marginals,3,2.868758683491253,0.008998178339418125,3.0434445580423666,0.021398208079577374,0.08724838991959889,0.012713338989351324,0.02856941583255927,0.006706720860783811,1.0141435066858928,0.0184391786495401,1.011680245399475,0.007881786971243279,0.4745124725475825,0.0,0.5371677728518927,0.007881786971243279,0.8137642542521158,0.017828216256886735,7.72405465443929,0.16844541661386891,0.017433715984225273,0.001458150871560457
10,0.8,WGAN,3,2.282663262016399,0.038154185224778446,2.6202368839914096,0.032315284045367966,0.09422504653533299,0.014504104401264137,0.7854697902997335,0.017733923643152443,1.0141435066858928,0.0184391786495401,0.22867368161678314,0.03404026678168528,0.4745124725475825,0.0,-0.24583879093079938,0.03404026678168527,0.8140136003494263,0.018785177507852295,8.114097913106283,0.15792629381797502,0.016996368144949276,0.0003124842294529325
20,0.5,Best diagonal Gaussian,3,4.108030634564678,0.03963686621038738,4.263803774744779,0.05383284487466841,0.12833411991596222,0.007919190058267734,0.3101656635602315,0.010587863498930034,1.0062542359034221,0.00872762174786737,0.6960885922114054,0.004195527685176643,0.6951723455104023,0.0,0.0009162467010031353,0.004195527685176643,0.5067490140597025,0.008989857437500205,9.988911310831705,0.17906392800620155,0.01828911652167638,0.000797732771442086
20,0.5,Best W1 diagonal Gaussian,3,3.739163694429934,0.05890096722120941,3.9831768645617953,0.06569238482530185,0.10599434127410252,0.011045278762425502,0.8318740725517273,0.010507000655596847,1.0062542359034221,0.00872762174786737,0.17438017825285593,0.00839131126995691,0.6951723455104023,0.0,-0.5207921672575463,0.00839131126995691,0.5071492691834768,0.009396671448324944,10.570732752482096,0.18080351879984993,0.017883813629547756,0.0007379572376819547
