data_dim,rho,seed,product_minus_diag_w1,product_minus_diag_w2,w1diag_minus_diag_w1,w1diag_minus_diag_w2,product_minus_w1diag_w1,product_minus_w1diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2,wgan_minus_w1diag_w1,wgan_minus_w1diag_w2
10,0.5,0,0.14799818872462422,0.1174599038546229,-0.14645318933108253,-0.09356425451444483,0.29445137805570676,0.21102415836906774,-0.10865081628774176,-0.0766691695649091,0.037802373043340776,0.016895084949535732
10,0.5,1,0.18126359676926196,0.1681027998103759,-0.15240723158141734,-0.07675634614647242,0.3336708283506793,0.24485914595684832,-0.08928360174608363,-0.056159578322444226,0.0631236298353337,0.020596767824028195
10,0.5,2,0.13508180138156956,0.11213605242744284,-0.07400850261123848,-0.03173074393721187,0.20909030399280804,0.14386679636465471,-0.06432112187321692,-0.06340562384275605,0.009687380738021556,-0.031674879905544184
10,0.8,0,0.5358563427178096,0.4658401249723405,-0.12123326802306122,-0.009525502304560174,0.6570896107408708,0.4753656272769007,-0.0925100372601877,0.020123534553818878,0.02872323076287353,0.029649036858379052
10,0.8,1,0.4584517517578015,0.3664975429988653,-0.1272470057485977,-0.030914543430515362,0.5856987575063992,0.39741208642938064,-0.12738075972578677,-0.0614751432701266,-0.00013375397718906612,-0.030560599839611235
10,0.8,2,0.4366731409354023,0.35597383042467623,-0.059482739586075084,0.04112575886259551,0.4961558805214774,0.3148480715620807,-0.10741423202757483,-0.03995991504068108,-0.047931492441499746,-0.08108567390327659
20,0.5,0,0.3543563777176004,0.32006077870963257,-0.39320299535844994,-0.3062739212243786,0.7475593730760504,0.6263346999340111,-0.2151503505021437,-0.19773596837854512,0.17805264485630623,0.10853795284583345
20,0.5,1,0.34205374461120464,0.33509484917018817,-0.3786713893614926,-0.28993724794688536,0.7207251339726972,0.6250320971170735,-0.2018622791310336,-0.1570743844266662,0.17680911023045898,0.13286286352021914
20,0.5,2,0.36354476990147866,0.35257192073536014,-0.3347264356842916,-0.24566956137768337,0.6982712055857703,0.5982414821130435,-0.16916532960443753,-0.12580351571830217,0.16556110607985408,0.11986604565938119
20,0.8,0,0.9275904489328122,0.7546996689025693,-0.24583134028277476,-0.10328700777640076,1.173421789215587,0.8579866766789701,-0.1656702876403302,-0.0944666327703052,0.08016105264244455,0.00882037500609556
20,0.8,1,0.8237535445507143,0.6784089271579772,-0.2546676731958821,-0.11674706234843679,1.0784212177465964,0.795155989506414,-0.19326485367076618,-0.09789538265756725,0.06140281952511595,0.01885167969086954
20,0.8,2,0.8287169377728616,0.6934659943535078,-0.21018752395491802,-0.09573578442188069,1.0389044617277796,0.7892017787753884,-0.1330438160362526,-0.0736684537911918,0.07714370791866543,0.022067330630688886
