optimizer,lr,num_seeds,best_val_w1_mean,best_val_w1_std,selected_val_w1_mean,selected_val_w1_std,test_w1_mean,test_w1_std,test_w2_mean,test_w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,fake_corr_mean,fake_corr_std,selected_epoch_mean,selected_epoch_std
adam,0.0001,1,1.2129588194889025,0.0,1.2129588194889025,0.0,1.0311293666415455,0.0,1.1875550939866415,0.0,0.16413038969039917,0.0,0.7778393139014952,0.0,-0.016545694321393967,0.0,1.0,0.0
rmsprop,0.0001,1,1.2129588194889025,0.0,1.2129588194889025,0.0,1.0311293666415455,0.0,1.1875550939866415,0.0,0.16413038969039917,0.0,0.7778393139014952,0.0,-0.016545694321393967,0.0,1.0,0.0
