rho,seed,diag_var_1,diag_var_2,diag_var_mean,gaussian_w2,theoretical_diag_var
0.0,0,0.9996901750564575,1.0082005262374878,1.0039453506469727,0.000951044135350101,1.0
0.0,1,1.004706859588623,1.0183707475662231,1.0115387439727783,0.002288386749231553,1.0
0.0,2,0.9778614640235901,0.9935959577560425,0.9857287406921387,0.004213533439210625,1.0
0.0,3,1.0095863342285156,0.9984626770019531,1.0040245056152344,0.0065288890064913885,1.0
0.0,4,1.0191435813903809,0.9894908666610718,1.004317283630371,0.00844438319889385,1.0
0.0,5,0.9503827691078186,0.9947980642318726,0.972590446472168,0.0016635123244678877,1.0
0.0,6,1.005061149597168,0.9796320796012878,0.9923466444015503,0.0037212987046525673,1.0
0.0,7,1.0237828493118286,0.9643025994300842,0.9940427541732788,0.0036795753737318294,1.0
0.0,8,1.0016515254974365,1.0089516639709473,1.005301594734192,0.0009500320379600619,1.0
0.0,9,0.9805765748023987,0.98459392786026,0.9825852513313293,0.0020960020907481755,1.0
0.2,0,0.989726185798645,0.9974449276924133,0.9935855865478516,0.14089655814818072,0.9898979485566356
0.2,1,0.9948830604553223,1.0068413019180298,1.0008621215820312,0.13977209605308263,0.9898979485566356
0.2,2,0.9673920273780823,0.9850029349327087,0.9761974811553955,0.14411609222576915,0.9898979485566356
0.2,3,0.9984617233276367,0.9913289546966553,0.994895339012146,0.14957215573188215,0.9898979485566356
0.2,4,1.0076518058776855,0.9835947751998901,0.9956232905387878,0.15275990176612964,0.9898979485566356
0.2,5,0.9410184621810913,0.9831491112709045,0.9620838165283203,0.13538873188708148,0.9898979485566356
0.2,6,0.9954337477684021,0.9687015414237976,0.9820676445960999,0.13976476321608272,0.9898979485566356
0.2,7,1.0139682292938232,0.9542193412780762,0.9840937852859497,0.14232769213580843,0.9898979485566356
0.2,8,0.991398274898529,0.9990124106407166,0.9952053427696228,0.14293135526159867,0.9898979485566356
0.2,9,0.9709645509719849,0.9736965298652649,0.9723305702209473,0.13856961330335316,0.9898979485566356
0.4,0,0.9582306742668152,0.964667797088623,0.9614492654800415,0.28747755917449175,0.9582575694955839
0.4,1,0.9634196758270264,0.9729135632514954,0.9681665897369385,0.2866650289541977,0.9582575694955839
0.4,2,0.9358628392219543,0.9542258381843567,0.9450443387031555,0.288455767245532,0.9582575694955839
0.4,3,0.9655905961990356,0.9629077315330505,0.9642491340637207,0.29691172234401186,0.9582575694955839
0.4,4,0.9742071628570557,0.9572795629501343,0.965743362903595,0.30122784031932315,0.9582575694955839
0.4,5,0.9111917018890381,0.9483343362808228,0.9297630190849304,0.27721837921274844,0.9582575694955839
0.4,6,0.9641632437705994,0.9378095865249634,0.950986385345459,0.2880258656157881,0.9582575694955839
0.4,7,0.9821223616600037,0.9258213639259338,0.9539718627929688,0.2930323567206913,0.9582575694955839
0.4,8,0.959571361541748,0.9670150279998779,0.963293194770813,0.2895468509210698,0.9582575694955839
0.4,9,0.9402323365211487,0.9415070414543152,0.9408696889877319,0.2839688551745861,0.9582575694955839
0.6,0,0.900126039981842,0.9047924280166626,0.9024592638015747,0.445663228215238,0.9
0.6,1,0.9052131175994873,0.9115219116210938,0.9083675146102905,0.4453136417193705,0.9
0.6,2,0.8783084750175476,0.8960267901420593,0.8871676325798035,0.4440215114683237,0.9
0.6,3,0.9058446884155273,0.9078350067138672,0.9068398475646973,0.45530012822049115,0.9
0.6,4,0.9136286973953247,0.9051524996757507,0.9093905687332153,0.4605305016610328,0.9
0.6,5,0.8560701012611389,0.8853920102119446,0.8707310557365417,0.43070264990101337,0.9
0.6,6,0.9061453938484192,0.8821470141410828,0.894146203994751,0.4478127335964897,0.9
0.6,7,0.9230416417121887,0.8743880391120911,0.8987148404121399,0.4550839531676324,0.9
0.6,8,0.9010836482048035,0.9077922105789185,0.9044378995895386,0.4476533332706601,0.9
0.6,9,0.8833996653556824,0.8831191658973694,0.8832594156265259,0.4408958646575286,0.9
0.8,0,0.8002913594245911,0.8026463985443115,0.8014688491821289,0.6310415969798564,0.7999999999999999
0.8,1,0.8050657510757446,0.8074493408203125,0.8062575459480286,0.6314255011577425,0.7999999999999999
0.8,2,0.7799392342567444,0.7950433492660522,0.7874913215637207,0.626180576551932,0.7999999999999999
0.8,3,0.8039540648460388,0.8104897141456604,0.8072218894958496,0.6400379753902774,0.7999999999999999
0.8,4,0.8104963898658752,0.8115929365158081,0.8110446929931641,0.6458193153615551,0.7999999999999999
0.8,5,0.7612680196762085,0.7794390916824341,0.7703535556793213,0.6114110381338852,0.7999999999999999
0.8,6,0.8061774969100952,0.7871939539909363,0.7966856956481934,0.6344896897130156,0.7999999999999999
0.8,7,0.8212276697158813,0.7856655716896057,0.8034466505050659,0.6436552654744249,0.7999999999999999
0.8,8,0.8007848262786865,0.8060076832771301,0.8033962249755859,0.6327975634822272,0.7999999999999999
0.8,9,0.7856350541114807,0.7838054299354553,0.784720242023468,0.6247740099127913,0.7999999999999999
