mean_error,var_error,cov_12,corr,w1,w2,rho,seed,method
0.047170985490083694,0.042177677154541016,0.024132022634148598,0.02361287921667099,0.20352033504144898,0.2513276468544148,0.0,0,Best diagonal Gaussian
0.03847658261656761,0.026310503482818604,-0.045815397053956985,-0.0456259660422802,0.1901133001234256,0.2516072178257236,0.0,0,Product marginals
0.019743846729397774,0.07862386107444763,0.013189963065087795,0.014082607813179493,0.23397358070537294,0.29684283821799173,0.0,0,WGAN
0.08259479701519012,0.014794230461120605,-0.008286158554255962,-0.008206488564610481,0.18722864153279273,0.256757763578946,0.0,1,Best diagonal Gaussian
0.026544421911239624,0.016057252883911133,-0.01871597394347191,-0.018941693007946014,0.2300796155511283,0.2916055698129761,0.0,1,Product marginals
0.02485259249806404,0.0390487015247345,0.0383184440433979,0.04006557911634445,0.20749303497889776,0.26812506803972735,0.0,1,WGAN
0.06456385552883148,0.0867534875869751,-0.0016736345132812858,-0.0017964676953852177,0.17391021115132263,0.22061853588313887,0.0,2,Best diagonal Gaussian
0.0581764318048954,0.04859247803688049,-0.001342491596005857,-0.0013845625799149275,0.17330238634023418,0.22862619381072305,0.0,2,Product marginals
0.1167127937078476,0.2800235152244568,-0.011961166746914387,-0.01119637954980135,0.3083750842876422,0.37360835731526687,0.0,2,WGAN
0.08288029581308365,0.06224256753921509,0.0015061666490510106,0.0015023787273094058,0.2079068728702862,0.2759728513672042,0.0,3,Best diagonal Gaussian
0.06701710820198059,0.040893733501434326,0.03412735462188721,0.03311903774738312,0.22872430241835892,0.28800765149495156,0.0,3,Product marginals
0.09970005601644516,0.1784733533859253,0.0029100487008690834,0.002475172048434615,0.28215574752064976,0.35471767843903734,0.0,3,WGAN
0.04567820578813553,0.07920709252357483,-0.021674446761608124,-0.02117409184575081,0.21572643870887678,0.2744872466878098,0.0,4,Best diagonal Gaussian
0.06872140616178513,0.08590427041053772,-0.02530042640864849,-0.024538392201066017,0.1924274333865417,0.24106157603067796,0.0,4,Product marginals
0.019753025844693184,0.1000376045703888,0.016516145318746567,0.015852930024266243,0.217086956989929,0.26871732740740756,0.0,4,WGAN
0.05382390320301056,0.04669243097305298,-0.017414409667253494,-0.017940834164619446,0.19782232134046543,0.251500860728422,0.0,5,Best diagonal Gaussian
