rho,seed,product_minus_diag_w1,product_minus_diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2
0.0,0,-0.013407034918023392,0.0002795709713088179,0.03045324566392396,0.04551519136357696
0.0,1,0.04285097401833557,0.03484780623403011,0.020264393446105033,0.01136730446078138
0.0,2,-0.0006078248110884532,0.008007657927584177,0.13446487313631958,0.152989821432128
0.0,3,0.020817429548072724,0.01203480012774738,0.07424887465036356,0.07874482707183317
0.0,4,-0.023299005322335087,-0.03342567065713187,0.0013605182810522143,-0.005769919280402269
0.0,5,-0.008306612116283668,0.013208493906980034,0.0222341436329474,0.04863027042161028
0.0,6,-0.046368715702816476,-0.02845497417004711,0.0644489320711617,0.07282610905269843
0.0,7,0.04781567150747437,0.0321067221377056,0.04129745200368701,0.049135026453536734
0.0,8,0.00697250946493197,0.020028761814234602,0.02964800765402384,0.035441346338831864
0.0,9,-0.06804015094531837,-0.07464318536926284,0.01321421928389066,-0.000453450663367716
0.2,0,-0.004937329538719171,0.001827648782959046,0.044671918943187255,0.025680531518540328
0.2,1,-0.04053423770148093,-0.04941397103770884,-0.015607563377673134,-0.019465852630420666
0.2,2,0.019844613752508455,0.013079878720869575,0.07202007168716401,0.06523414878205869
0.2,3,-0.037744208074435376,-0.044006908182673166,0.06847745050381121,0.07908475343512861
0.2,4,0.025546314123008812,0.031653978207946076,0.02046930060043478,0.019578336001240926
0.2,5,0.014467625888533342,0.018049702879144924,0.08258895383530274,0.0760111920945663
0.2,6,0.006961637823568512,0.017187263175529988,0.014819223705726747,0.015106829985705839
0.2,7,-0.016055783932546863,-0.01580548074123972,0.0463894333769142,0.04335716392345512
0.2,8,0.02008408637855738,0.027223726220597544,0.03602636800951958,0.024097059666005838
0.2,9,0.02328121922894022,0.030259113149369132,0.04338163798196659,0.035273352104511546
0.4,0,-0.0009003875458916677,0.03618552088695798,0.034813837661451186,0.037209608851222487
0.4,1,-0.05648017216906609,-0.05125069947852556,-0.009470320100016416,-0.03817830863608801
0.4,2,-0.00534314393121349,-0.004874820956124959,0.02220918559204177,0.005133525321462495
0.4,3,-0.038607859654939236,-0.040110794736900934,0.10551097581231789,0.14861244867821777
0.4,4,-0.021480086119380126,-0.02826045271776123,-0.008379362457937689,-0.024533435871189002
0.4,5,-0.014416363816941224,-0.016046897612539746,0.0363608340156889,0.05642985693137115
0.4,6,-0.04325036046292208,-0.038575177356997836,0.03849775012940532,0.0718409111997293
0.4,7,0.00474067534973821,0.0034666115689252486,0.086488127798789,0.09116071866950776
0.4,8,0.005592478073346507,0.008117716195085944,0.0651454714463432,0.06023211079789054
0.4,9,0.05878918076115258,0.07565208362339326,0.025203684137148352,0.01780824960424343
0.6,0,0.07132049969964188,0.10053283383456318,0.11626746022740403,0.10956307265147985
0.6,1,-0.05893991280667621,-0.061684762182476205,-0.018410458349657266,-0.021467024077474472
0.6,2,-0.03383448411904083,-0.034584772668575736,0.017740612231520347,0.029198796975197006
0.6,3,-0.042819029142664666,-0.05306463367307113,0.09115317895694125,0.0978155107526748
0.6,4,0.002984233728525687,0.003428933711878912,0.07849080225813976,0.0863710248866747
0.6,5,0.001958038502832715,0.01831219819406249,0.021243480625769473,0.030577472424082486
0.6,6,0.06283187374420401,0.062101111636634454,0.1468561454597057,0.14978352991738908
0.6,7,0.0275536919559925,0.04321933314876586,0.032838961674568234,0.02811064729430629
0.6,8,-0.017849532938753687,0.0020745617155637497,0.052070633609423544,0.07767234562248126
0.6,9,0.0305981735496057,0.0358642948518309,0.07381974113098594,0.08437042015333568
0.8,0,0.06000875900298419,0.09425630621477366,0.07111104471199747,0.072783557258292
0.8,1,0.02105532985448927,0.021731961266708844,0.06628106134208228,0.07032820781576787
0.8,2,0.017858654104239036,0.02690481156234581,0.1745928436485369,0.2043380979812235
0.8,3,0.02326949390946753,0.01871002751585482,0.08620618581965911,0.08552982877769577
0.8,4,0.07847660552796065,0.09372421905669659,0.19950476712945087,0.24607667501375075
0.8,5,-0.05138946262169641,-0.045893003161361134,0.02054018027485016,0.024616031429719687
0.8,6,-0.05989380942737088,-0.046043961866711336,0.12731689868319374,0.13892275430320788
0.8,7,0.041389712494809994,0.032109050068102274,0.2182684045237307,0.2640757097482661
0.8,8,-0.013246462590776331,-0.00701795012795603,0.11453898175013744,0.14311628958047273
0.8,9,0.05668078277809274,0.05612016028756339,0.07005280600665176,0.0698341043500843
