mean_error,var_error,cov_12,corr,w1,w2,method,seed
0.1000136137008667,0.007787913084030151,-0.008224068209528923,-0.008206488564610481,0.1618750289940907,0.19877013588380382,Best diagonal Gaussian,0
0.058312367647886276,0.01638054847717285,-0.0009954174747690558,-0.0009838556870818138,0.16866422916861967,0.21347475737827337,Product marginals,0
0.1268584281206131,0.05486023426055908,-0.023176604881882668,-0.02464587241411209,0.17414552599561142,0.21824902450268183,WGAN,0
0.04104011505842209,0.06235501170158386,-0.0017174744280055165,-0.0017964700236916542,0.13660958423607264,0.1798474818705282,Best diagonal Gaussian,1
0.044474899768829346,0.03194659948348999,-0.01345410943031311,-0.013448831625282764,0.14869854967667287,0.20164450960353217,Product marginals,1
0.12417124211788177,0.02710866928100586,-0.01957111246883869,-0.01935725286602974,0.17348099794807106,0.21377711995871038,WGAN,1
0.09031341224908829,0.03044620156288147,0.015260969288647175,0.015627261251211166,0.158190240736405,0.20812268836538128,Product marginals,2
0.10943828523159027,0.028762787580490112,0.02458030916750431,0.02536853961646557,0.16916871384898202,0.21386051314526774,WGAN,2
0.11239108443260193,0.048284679651260376,0.0014786995016038418,0.001502381986938417,0.18664463077702495,0.23411369434894116,Best diagonal Gaussian,2
0.05361573398113251,0.07869207859039307,-0.021670160815119743,-0.02117409184575081,0.12886899380187722,0.16707973219726027,Best diagonal Gaussian,3
0.046264465898275375,0.08414050936698914,3.282710167695768e-05,3.189300332451239e-05,0.15684597446853715,0.20780056362226337,Product marginals,3
0.04794460907578468,0.019170701503753662,-0.02523084171116352,-0.026171023026108742,0.15761722168425826,0.19629581483747194,WGAN,3
0.013472120277583599,0.009501487016677856,0.00815920066088438,0.008169696666300297,0.14557781018926633,0.18825199615520358,WGAN,4
0.08300801366567612,0.009554117918014526,-0.017985207960009575,-0.017940828576683998,0.15328033040652989,0.19591098041320568,Best diagonal Gaussian,4
0.07720156759023666,0.01262754201889038,-0.025719884783029556,-0.025760425254702568,0.15507007550994156,0.20695092865504325,Product marginals,4
0.09229979664087296,0.12074565887451172,0.025916630402207375,0.028850359842181206,0.1584808629357039,0.19678184162568355,WGAN,5
0.07420063018798828,0.07508069276809692,0.016343483701348305,0.017308466136455536,0.16035722117250975,0.19260507774025373,Best diagonal Gaussian,5
