method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std
Best diagonal Gaussian,30,0.15121113680387305,0.01787086860009281,0.19648222589162942,0.017759901022890268,0.04727138049590091,0.024053643260973367,0.04264932771523793,0.024769276021673156,-0.001453975778228293,0.02050471498555619
Product marginals,30,0.15752798544067656,0.016309415071614604,0.20562450632833096,0.01604315592602744,0.05776218765725692,0.021632334797376827,0.041463785370190936,0.02332814461506977,-0.004722547636629315,0.0203115819175113
WGAN,30,0.17240038867556973,0.023340501844299873,0.22526652433695246,0.027567882680476326,0.0703998655701677,0.025807004623921777,0.07970164716243744,0.04568254185634887,-0.00020181569270789624,0.02229142811377787
