real_mean_1,real_mean_2,fake_mean_1,fake_mean_2,real_var_1,real_var_2,fake_var_1,fake_var_2,real_cov_12,fake_cov_12,real_corr,fake_corr,final_generator_loss,final_critic_loss,selected_epoch,best_epoch,best_val_w1,selected_val_w1,test_w1,test_w2,mean_error,var_error,optimizer,lr,seed,adam_beta1,adam_beta2
0.03359191492199898,0.03078438527882099,-0.013327429071068764,0.06074896827340126,0.9720177054405212,0.9928187727928162,0.10254018008708954,1.0246005058288574,0.7800534963607788,-0.0069212582893669605,0.7940582036972046,-0.021353092044591904,-0.04745430871844292,-0.027874048426747323,200,200,0.703494754516753,0.703494754516753,0.6818470666193354,0.8649357577273323,0.055671367794275284,0.4506296291947365,rmsprop,3e-05,0,nan,nan
-0.023446308448910713,-0.019536251202225685,-0.07835614681243896,-0.11182783544063568,1.047188639640808,1.049526572227478,0.9044137001037598,0.07559098303318024,0.8521733283996582,-0.0038406578823924065,0.812865674495697,-0.014688825234770775,-0.056787910871207714,-0.024452812038362026,200,200,0.7577970737262433,0.7577970737262433,0.7268808965741239,0.904832131925725,0.10739099979400635,0.5583552643656731,rmsprop,3e-05,1,nan,nan
-0.04733068123459816,-0.045902006328105927,0.16262614727020264,0.12425229698419571,0.9716730117797852,0.9831785559654236,0.5357138514518738,0.5667428374290466,0.772423267364502,0.0011420334922149777,0.7902765274047852,0.0020726185757666826,0.06274310313165188,-0.020162390917539595,160,160,0.5804690096049709,0.5804690096049709,0.6333442305145371,0.7750177333724229,0.270248681306839,0.42619743943214417,rmsprop,3e-05,2,nan,nan
0.011548109352588654,0.0118300411850214,0.027820497751235962,0.026144733652472496,0.9489638209342957,0.9445884823799133,0.3548591732978821,1.0129096508026123,0.7581522464752197,0.010885489173233509,0.8007745742797852,0.01815660297870636,-0.06420476455241442,-0.02707088515162468,200,200,0.6201304990189928,0.6201304990189928,0.601552439237798,0.7383746325962963,0.02167258784174919,0.3312129080295563,rmsprop,3e-05,3,nan,nan
0.0345032662153244,0.0161630529910326,-0.07358111441135406,-0.05819997936487198,1.0286234617233276,1.0087049007415771,0.681575357913971,0.319627046585083,0.8237988948822021,0.011004130356013775,0.8087437748908997,0.02357637509703636,0.048263086937367916,-0.02890060981735587,200,200,0.5717048902839619,0.5717048902839619,0.5725427837073507,0.7181613843325254,0.13119487464427948,0.5180629789829254,rmsprop,3e-05,4,nan,nan
0.0007270955829881132,0.027055399492383003,0.008255385793745518,-0.03026391565799713,1.0429942607879639,1.0054371356964111,0.8791571259498596,0.26429814100265503,0.8214452862739563,-0.007265910040587187,0.8021585941314697,-0.01507334690541029,-0.018295207526534796,-0.021538085583597422,200,200,0.5898393049933917,0.5898393049933917,0.6223781611865175,0.7792095195439116,0.05781158059835434,0.4524880647659302,rmsprop,3e-05,5,nan,nan
-0.006425597704946995,0.021468713879585266,0.08110811561346054,0.09462089836597443,1.0035741329193115,0.982573926448822,0.8538524508476257,0.5102556943893433,0.7921133637428284,-0.008244208060204983,0.7976823449134827,-0.01249003317207098,-0.05755624733865261,-0.025380659289658068,190,190,0.5600631188104326,0.5600631188104326,0.6201207965507983,0.7495793358712467,0.11407625675201416,0.3110199570655823,rmsprop,3e-05,6,nan,nan
0.008172658272087574,0.004826277960091829,-0.008134851232171059,0.013563020154833794,0.9696036577224731,0.9868266582489014,0.3429591953754425,0.8365892171859741,0.7857680320739746,-0.006277394015341997,0.8032981753349304,-0.01171930879354477,-0.06423367094248533,-0.01843676883727312,150,150,0.6446795195896078,0.6446795195896078,0.5981589952639011,0.7374872237281848,0.018500421196222305,0.38844095170497894,rmsprop,3e-05,7,nan,nan
0.010517772287130356,-0.003595105605199933,0.059030480682849884,0.014831701293587685,0.9789043068885803,1.017853856086731,1.1645983457565308,0.3592497408390045,0.7903211712837219,0.002252050908282399,0.7917550206184387,0.0034817045088857412,0.01657165912911296,-0.02015421139076352,140,140,0.6145761571376223,0.6145761571376223,0.636968122559923,0.7576933322994572,0.051894411444664,0.42214907705783844,rmsprop,3e-05,8,nan,nan
-0.030841773375868797,-0.033647727221250534,-0.18840870261192322,0.04140650853514671,0.9964575171470642,1.0096832513809204,0.03570723906159401,0.41072937846183777,0.8031188249588013,-0.0041936347261071205,0.8006778955459595,-0.034628573805093765,-0.05644775554537773,-0.03518139217048884,200,200,0.7974221147925847,0.7974221147925847,0.8267222122717106,1.0170422146509037,0.1745292991399765,0.7798520755022764,rmsprop,3e-05,9,nan,nan
