optimizer,lr,num_seeds,best_val_w1_mean,best_val_w1_std,selected_val_w1_mean,selected_val_w1_std,test_w1_mean,test_w1_std,test_w2_mean,test_w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,fake_corr_mean,fake_corr_std,selected_epoch_mean,selected_epoch_std
adam,3e-05,10,0.7343165008814795,0.10732696889901452,0.7343165008814795,0.10732696889901452,0.7447934207770721,0.09584790257222246,0.9265580153553857,0.12299081685911488,0.18338339142501353,0.1096240476823651,0.6360069495567586,0.16525706455023623,-0.0033415378100471573,0.01548918241627629,200.0,0.0
adam,0.0001,10,0.6114522539977829,0.04012478891126623,0.6114522539977829,0.04012478891126623,0.6176151505126002,0.041595977477409576,0.7571554774107799,0.03897757295645029,0.11794522516429425,0.08257732449646411,0.31976630687713625,0.1218154724392205,-0.005806832853704691,0.016901979388529543,80.0,25.298221281347036
adam,0.0002,10,0.6274609686720212,0.03190131277717095,0.6274609686720212,0.03190131277717095,0.6449844450415742,0.04411893727831901,0.7887414053485765,0.04883868515839776,0.12710353285074233,0.10141187637386995,0.3143070161342621,0.1521198114981176,-0.006108081701677292,0.01580855087551889,65.0,53.71219600798314
rmsprop,3e-05,10,0.6440176442474561,0.0779135866762028,0.6440176442474561,0.0779135866762028,0.6520515704485995,0.07158967267984537,0.8042333266048006,0.09051303124999759,0.10029904805123806,0.07389223677864724,0.4638408346101642,0.1272101811126925,-0.006266587879508734,0.01703122907062284,184.0,22.891046284519195
rmsprop,0.0001,10,0.5942715704127934,0.028762911678230536,0.5942715704127934,0.028762911678230536,0.6090581313726264,0.036617511503069584,0.7446263849582038,0.0374565097386632,0.14186286143958568,0.040902598489150094,0.24374585300683976,0.1167056219088869,-0.0056625042576342825,0.01709193267492252,77.0,41.48493702538308
rmsprop,0.0002,10,0.6117886759456016,0.02723815513618324,0.6117886759456016,0.02723815513618324,0.6177586407762635,0.061977876806765045,0.7683884364050003,0.07636735234477803,0.14625343009829522,0.09273747680757907,0.24752768278121948,0.07403161185262137,-0.0062370796571485695,0.01575660448307245,86.0,49.4368283772331
