mean_error,diag_var_error,offdiag_cov_error,cov_fro_error,avg_abs_corr,w1,w2,data_dim,rho,seed,method
0.12028327584266663,0.2952030301094055,0.4948617219924927,9.75108814239502,0.018807662650942802,4.113576623160986,4.300540995255569,20,0.5,0,Best diagonal Gaussian
0.21063078939914703,0.2769696116447449,0.49428150057792664,9.766335487365723,0.018727358430624008,4.31370906871023,4.485141446708172,20,0.5,0,WGAN
0.13134007155895233,0.03763607144355774,0.49414294958114624,9.651741027832031,0.01779787428677082,4.4679330008785865,4.620601773965202,20,0.5,0,Product marginals
0.1391018182039261,0.3181409239768982,0.5165972113609314,10.183161735534668,0.017162146046757698,4.056950774788237,4.187687911283656,20,0.5,1,Best diagonal Gaussian
0.2301507294178009,0.32485517859458923,0.5196845531463623,10.278051376342773,0.017634913325309753,4.222069872439109,4.359385885948313,20,0.5,1,WGAN
0.1465964913368225,0.04066834598779678,0.5186201930046082,10.129021644592285,0.01775851659476757,4.399004519399441,4.522782760453844,20,0.5,1,Product marginals
0.12561726570129395,0.31715303659439087,0.5087881088256836,10.03248405456543,0.018897540867328644,4.153564505744813,4.303182417695109,20,0.5,2,Best diagonal Gaussian
0.15320123732089996,0.20209474861621857,0.508895218372345,9.99834156036377,0.019353149458765984,4.410211420334951,4.551044458866221,20,0.5,2,WGAN
0.12180013209581375,0.0396973192691803,0.5078540444374084,9.922218322753906,0.019169487059116364,4.517109275646292,4.655754338430469,20,0.5,2,Product marginals
0.10593782365322113,0.6110691428184509,0.8064165711402893,15.959761619567871,0.018807657063007355,3.7501472701170195,4.13543506951508,20,0.8,0,Best diagonal Gaussian
0.19013118743896484,0.579359233379364,0.8057215809822083,15.955009460449219,0.019559482112526894,3.950297181874214,4.313599267971013,20,0.8,0,WGAN
0.11448650807142258,0.037887465208768845,0.8056247234344482,15.714146614074707,0.017800355330109596,4.677737719049832,4.8901347384176495,20,0.8,0,Product marginals
0.09171001613140106,0.641935408115387,0.8369032740592957,16.56798553466797,0.017162147909402847,3.9364264601270844,4.320960639019288,20,0.8,1,Best diagonal Gaussian
0.3842742145061493,0.6604944467544556,0.8383029103279114,16.63371467590332,0.016813192516565323,4.0101052624640205,4.408533803382455,20,0.8,1,WGAN
0.12129461765289307,0.03893893212080002,0.8375258445739746,16.334999084472656,0.017174426466226578,4.760180004677799,4.999369566177265,20,0.8,1,Product marginals
0.09967347234487534,0.6177050471305847,0.8103150725364685,16.039276123046875,0.018897539004683495,3.9718771109190105,4.325143976226146,20,0.8,2,Best diagonal Gaussian
1.035030484199524,0.6079218983650208,0.8107179403305054,16.072484970092773,0.01959783211350441,4.138532921410189,4.5274784284243665,20,0.8,2,WGAN
0.11370152235031128,0.035668857395648956,0.808941662311554,15.779495239257812,0.017559418454766273,4.800594048691872,5.018609970579654,20,0.8,2,Product marginals
