method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std
Best diagonal Gaussian,30,0.15121113680387305,0.01787086860009281,0.19648222589162942,0.017759901022890268,0.04727138049590091,0.024053643260973367,0.04264932771523793,0.024769276021673156,-0.001453975778228293,0.02050471498555619
Product marginals,30,0.15752798544067656,0.016309415071614604,0.20562450632833096,0.01604315592602744,0.05776218765725692,0.021632334797376827,0.041463785370190936,0.02332814461506977,-0.004722547636629315,0.0203115819175113
WGAN,30,0.16028544547697987,0.02487177359135331,0.20887646725066122,0.021082741126570815,0.06622793457160393,0.03723763914285315,0.05242887636025747,0.027016425394397116,-0.0011044274491723628,0.02139067418866409
