method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std
Best diagonal Gaussian,100,0.14964015111300574,0.014618653630996084,0.19637108765689504,0.015480185557842065,0.04240335894515738,0.02274350224916076,0.041185458600521085,0.021795383950230715,-0.0006816795945633203,0.02391761921537522
Product marginals,100,0.1518346130497371,0.014156444130830597,0.19868777051901063,0.015475860561203335,0.04617674549575895,0.022431999415569975,0.03882140636444092,0.021400355112839498,0.00037833502756257076,0.02157466927136854
WGAN,100,0.17281552720476717,0.02637425062355438,0.2228075369223157,0.027841905979469905,0.0799409454013221,0.043000134761351415,0.075271957218647,0.050226971977113094,7.140203480958007e-05,0.02334373326138398
