mean_error,var_error,cov_12,corr,w1,w2,method,seed
0.1000136137008667,0.007787913084030151,-0.008224068209528923,-0.008206488564610481,0.1618750289940907,0.19877013588380382,Best diagonal Gaussian,0
0.09530322253704071,0.061081916093826294,-0.03014787659049034,-0.030362380668520927,0.16284077581159065,0.20932567197987906,WGAN,0
0.058312367647886276,0.01638054847717285,-0.0009954174747690558,-0.0009838556870818138,0.16866422916861967,0.21347475737827337,Product marginals,0
0.04104011505842209,0.06235501170158386,-0.0017174744280055165,-0.0017964700236916542,0.13660958423607264,0.1798474818705282,Best diagonal Gaussian,1
0.044474899768829346,0.03194659948348999,-0.01345410943031311,-0.013448831625282764,0.14869854967667287,0.20164450960353217,Product marginals,1
0.17326883971691132,0.023683816194534302,-0.018276814371347427,-0.018377453088760376,0.20327379625779862,0.2503908879132086,WGAN,1
0.09031341224908829,0.03044620156288147,0.015260969288647175,0.015627261251211166,0.158190240736405,0.20812268836538128,Product marginals,2
0.1076938807964325,0.03144276142120361,0.01708846166729927,0.01744728907942772,0.16663463216204755,0.20493552025683612,WGAN,2
0.11239108443260193,0.048284679651260376,0.0014786995016038418,0.001502381986938417,0.18664463077702495,0.23411369434894116,Best diagonal Gaussian,2
0.05361573398113251,0.07869207859039307,-0.021670160815119743,-0.02117409184575081,0.12886899380187722,0.16707973219726027,Best diagonal Gaussian,3
0.046264465898275375,0.08414050936698914,3.282710167695768e-05,3.189300332451239e-05,0.15684597446853715,0.20780056362226337,Product marginals,3
0.15662357211112976,0.026272058486938477,-0.02694198675453663,-0.029321230947971344,0.2556321495074723,0.2870493082904779,WGAN,3
0.08747455477714539,0.03853076696395874,0.011915531940758228,0.012406551279127598,0.14586337772864946,0.2038861377033566,WGAN,4
0.08300801366567612,0.009554117918014526,-0.017985207960009575,-0.017940828576683998,0.15328033040652989,0.19591098041320568,Best diagonal Gaussian,4
0.07720156759023666,0.01262754201889038,-0.025719884783029556,-0.025760425254702568,0.15507007550994156,0.20695092865504325,Product marginals,4
0.07420063018798828,0.07508069276809692,0.016343483701348305,0.017308466136455536,0.16035722117250975,0.19260507774025373,Best diagonal Gaussian,5
0.10683738440275192,0.05588844418525696,0.013175477273762226,0.013608574867248535,0.19190330207993656,0.22551150723161492,Product marginals,5
0.14465981721878052,0.055744290351867676,0.029629461467266083,0.029146350920200348,0.21603595714575863,0.25159726111318664,WGAN,5
0.04706943780183792,0.09545952081680298,-0.008512324653565884,-0.008787126280367374,0.14317342975613723,0.19225725655167064,WGAN,6
0.058443110436201096,0.018279075622558594,-0.03689025714993477,-0.03729771450161934,0.17713071332099142,0.21694813187656545,Product marginals,6
0.0787675753235817,0.03016623854637146,0.01190351601690054,0.011803995817899704,0.20150471055879499,0.2451548032065769,Best diagonal Gaussian,6
0.03376384824514389,0.02618718147277832,0.009857650846242905,0.009905466809868813,0.1419984382623884,0.18642695737202924,Best diagonal Gaussian,7
0.06573642045259476,0.04000774025917053,0.0013424685457721353,0.0013461799826472998,0.15040516693078296,0.19497992462019648,Product marginals,7
0.07147137820720673,0.1456296741962433,0.024349013343453407,0.026169583201408386,0.2113984501575231,0.2538798438768139,WGAN,7
0.039991457015275955,0.05851930379867554,0.030309975147247314,0.031624797731637955,0.1341350444721118,0.18780173257826266,Best diagonal Gaussian,8
0.03558044508099556,0.061972230672836304,-0.018528612330555916,-0.018230369314551353,0.15334189956180275,0.1998464352816073,Product marginals,8
0.03801092505455017,0.2438429892063141,-0.013059427961707115,-0.01693142205476761,0.19143868726039082,0.2481676436087698,WGAN,8
0.05981045961380005,0.00426056981086731,0.020287280902266502,0.020341459661722183,0.13607079859284424,0.183994138312224,Product marginals,9
0.05268271267414093,0.027712613344192505,-0.028248891234397888,-0.02744450606405735,0.1400346995046926,0.19129261887955115,Best diagonal Gaussian,9
0.03225017711520195,0.0392918586730957,0.027801623567938805,0.0275400560349226,0.14682633885414123,0.19434583645433776,WGAN,9
0.0315302237868309,0.08398944139480591,0.004029253497719765,0.0038842782378196716,0.1538725224685086,0.2054963668040426,Best diagonal Gaussian,10
0.05652362108230591,0.08718627691268921,-0.03166567161679268,-0.030435895547270775,0.18453302910508407,0.24224699474969708,Product marginals,10
0.13182519376277924,0.08208239078521729,0.01565302163362503,0.015120606869459152,0.21882793933611033,0.2728308683691148,WGAN,10
0.0873490497469902,0.054374516010284424,0.01729639060795307,0.01699106954038143,0.15503056291637315,0.19996498053102757,Product marginals,11
0.0630602017045021,0.07452890276908875,0.0019370182417333126,0.0019086900865659118,0.1681400366314348,0.21228772241363808,WGAN,11
0.05574037879705429,0.03302919864654541,-0.015784114599227905,-0.015560454688966274,0.1771911806298474,0.22277469654419998,Best diagonal Gaussian,11
0.056113895028829575,0.09503108263015747,0.013981147669255733,0.014999469742178917,0.16003071993365833,0.21154432715391494,Product marginals,12
0.05112043023109436,0.0944439172744751,0.03804536908864975,0.040795277804136276,0.16042611114051603,0.21039088348086413,Best diagonal Gaussian,12
0.15932291746139526,0.040707945823669434,-0.007248738780617714,-0.0067854588851332664,0.21973720362540025,0.2557207142436509,WGAN,12
0.07755747437477112,0.023565679788589478,0.012956329621374607,0.013151563704013824,0.1330299462172069,0.17265481069033453,Product marginals,13
0.05570044368505478,0.013380378484725952,-0.046056583523750305,-0.04627645015716553,0.16319106083291707,0.19932485090244756,Best diagonal Gaussian,13
0.07307152450084686,0.056890398263931274,-0.010471034795045853,-0.01028667762875557,0.16725753752663566,0.21569612227866528,WGAN,13
0.0317469947040081,0.08721274137496948,0.003989099990576506,0.003977309912443161,0.13772382971691147,0.18444855011914726,Best diagonal Gaussian,14
0.09108727425336838,0.051264673471450806,-0.017877403646707535,-0.01858174242079258,0.1612270395983645,0.20403597580633961,Product marginals,14
0.1518280953168869,0.09841978549957275,-0.00973036140203476,-0.00981407705694437,0.21646184784335212,0.25723647873824323,WGAN,14
0.005484557244926691,0.007782846689224243,0.02845580317080021,0.028459837660193443,0.13702866663016838,0.18347652679486606,Best diagonal Gaussian,15
0.04235946759581566,0.05943882465362549,-0.015703629702329636,-0.014940349385142326,0.15165979570492383,0.19525175550349902,Product marginals,15
0.1089843213558197,0.07291680574417114,-0.05509639531373978,-0.05172881484031677,0.16691757845788366,0.2268733882275264,WGAN,15
0.03137257322669029,0.04379957914352417,-0.020422182977199554,-0.020687006413936615,0.1257258887325449,0.17784543522961824,Best diagonal Gaussian,16
0.03449953347444534,0.09028300642967224,-0.0005211658426560462,-0.0005666182842105627,0.13429455353609454,0.19088748502035685,WGAN,16
0.028327159583568573,0.06602215766906738,-0.007796380668878555,-0.007695431355386972,0.14381205182802895,0.19226789286767912,Product marginals,16
0.044929906725883484,0.031728893518447876,-0.01573892869055271,-0.016433702781796455,0.13595911504560695,0.1855849440619058,Best diagonal Gaussian,17
0.0312667079269886,0.0227070152759552,-0.04235268011689186,-0.04381459951400757,0.16015461679002244,0.21139512870346772,Product marginals,17
0.1705678552389145,0.06088051199913025,-0.030444156378507614,-0.02898160181939602,0.20732330879755592,0.2717967289163187,WGAN,17
0.05208301171660423,0.017256468534469604,-0.007136814296245575,-0.007254648022353649,0.14545174191727372,0.18328331963271394,Best diagonal Gaussian,18
