data_dim,rho,num_seeds,selected_epoch_mean,selected_epoch_std,selected_eval_w1_mean,selected_eval_w1_std,best_epoch_mean,best_epoch_std,best_eval_w1_mean,best_eval_w1_std
2,0.2,10,212.5,96.98582370635411,0.27956570932104985,0.02264559556116161,212.5,96.98582370635411,0.27956570932104985,0.02264559556116161
2,0.5,10,222.5,117.5,0.3553784172097892,0.030097090407964107,222.5,117.5,0.3553784172097892,0.030097090407964107
2,0.8,10,245.0,108.8577052853862,0.538377970415507,0.044680486646973806,245.0,108.8577052853862,0.538377970415507,0.044680486646973806
5,0.2,10,237.5,109.11576421397598,1.0954729449772516,0.02967615066158436,237.5,109.11576421397598,1.0954729449772516,0.02967615066158436
5,0.5,10,245.0,80.46738469715541,1.20593211381349,0.047910076116861544,245.0,80.46738469715541,1.20593211381349,0.047910076116861544
5,0.8,10,335.0,112.47221879201993,1.3828756397571376,0.07364415304406946,335.0,112.47221879201993,1.3828756397571376,0.07364415304406946
10,0.2,10,135.0,120.0,2.294438211291214,0.05675913896007475,135.0,120.0,2.294438211291214,0.05675913896007475
10,0.5,10,50.0,0.0,2.301351707892903,0.04741042332471939,50.0,0.0,2.301351707892903,0.04741042332471939
10,0.8,10,50.0,0.0,2.3309106739764047,0.11450099578098509,50.0,0.0,2.3309106739764047,0.11450099578098509
20,0.2,10,50.0,0.0,3.6983049783904294,0.07214929154393972,50.0,0.0,3.6983049783904294,0.07214929154393972
20,0.5,10,50.0,0.0,3.7352975256844347,0.11219477715436389,50.0,0.0,3.7352975256844347,0.11219477715436389
20,0.8,10,50.0,0.0,3.7784656730008392,0.09901653439629751,50.0,0.0,3.7784656730008392,0.09901653439629751
