data_dim,rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,diag_var_error_mean,diag_var_error_std,offdiag_cov_error_mean,offdiag_cov_error_std,cov_fro_error_mean,cov_fro_error_std,avg_abs_corr_mean,avg_abs_corr_std
5,0.2,Product marginals,10,1.10931655488805,0.037250756833775864,1.1982969636820429,0.04095807587320073,0.08031704165041446,0.028240367135793563,0.034267846308648583,0.006006718258780812,0.1985325872898102,0.010901049329205329,0.9037218987941742,0.04771500224029506,0.02101614121347666,0.0031825079069004755
5,0.2,WGAN,10,1.0928545647157495,0.03214493304942351,1.1848682050211674,0.042680466991726874,0.0890011329203844,0.03361358280805841,0.09041199050843715,0.02285953994110177,0.19336411058902742,0.007896537188604025,0.9037049889564515,0.03956859991242219,0.01616430040448904,0.0030142769287622444
5,0.5,Best diagonal Gaussian,10,1.2149532714739288,0.0344336360156568,1.353016337863648,0.05141706405595787,0.08047526702284813,0.022316486217433176,0.16259959787130357,0.01939882635117445,0.4894295006990433,0.014852882641285753,2.22285852432251,0.06979103066583414,0.017002774123102426,0.003062237505269958
5,0.5,Product marginals,10,1.2986430900207775,0.04502695227991395,1.4284135821512824,0.05787290041124886,0.07833184264600276,0.01979739821708266,0.036167416349053384,0.014366763375554429,0.49179943799972536,0.01666122845500649,2.2050750970840456,0.07390616337264846,0.019692938961088657,0.003230352603298338
5,0.5,WGAN,10,1.1980425146065468,0.046214542078861165,1.341679312192343,0.06481016183101548,0.08218187987804412,0.017981623843898013,0.23710579574108123,0.02418594450530561,0.48633565902709963,0.014107669106502123,2.2436097621917725,0.06890990284665925,0.015712318755686284,0.002644723184147038
5,0.8,Best diagonal Gaussian,10,1.405775471788135,0.04571042785767068,1.6088244063075492,0.05457621769300972,0.0686807656660676,0.020041570194956816,0.39443915486335757,0.02396237959607338,0.779650765657425,0.022555165797353595,3.5978649377822878,0.10876669094273227,0.017002773378044365,0.0030622385116582484
5,0.8,Product marginals,10,1.5954776573286724,0.03907670969863778,1.7585757906962658,0.04258454342171612,0.07039677575230599,0.01735145744189415,0.03890268374234438,0.02261846325206839,0.7819498836994171,0.02284823902159204,3.500427317619324,0.10082306172229363,0.019471471942961217,0.002357579857556105
5,0.8,WGAN,10,1.372248018004234,0.03709454575596403,1.5961369264231837,0.045123747274026814,0.08223206549882889,0.03682298777556789,0.5120840311050415,0.0675247055237418,0.7769859731197357,0.023249844247448328,3.6631085157394407,0.10488115304972104,0.014993552677333355,0.00329790591741082
10,0.2,Best diagonal Gaussian,10,2.3498168073521915,0.046839377701385174,2.4291090808043703,0.048908090293826936,0.1081777922809124,0.02440331617842181,0.058323615789413454,0.00860258602157032,0.19983922094106674,0.006995050226862611,1.9273762106895447,0.0666063890925125,0.01733170710504055,0.001742279903003709
10,0.2,Product marginals,10,2.377854969362276,0.032254812254953746,2.4525227566061245,0.03389349334074187,0.10743066668510437,0.026089816687862474,0.03441917672753334,0.008437900010196144,0.2007541462779045,0.008084607933928125,1.9295569062232971,0.07578880892610591,0.018362498842179775,0.0022515531023909277
10,0.2,WGAN,10,2.296793638187512,0.04872710561384638,2.3899933961952424,0.04250375978840726,0.29015687853097916,0.0818842596698613,0.5040368378162384,0.3101652900447067,0.19907694458961486,0.007996333683159407,2.623810184001923,0.5384404783672337,0.017999169044196607,0.001047492898003595
10,0.5,Best diagonal Gaussian,10,2.411443688979512,0.08379185603916968,2.5558291747353654,0.09557904881856881,0.09703864641487599,0.02196481615658488,0.24257077574729918,0.013747897555828049,0.4996852546930313,0.015329108321517414,4.808259201049805,0.14969037140458985,0.01733170822262764,0.0017422798108787613
10,0.5,Product marginals,10,2.5705933037136637,0.07133522724180226,2.698330175209694,0.08606762855798407,0.1027958232909441,0.02579288450861666,0.03545864280313253,0.0065868936899156775,0.5003598690032959,0.01587584911442513,4.755423307418823,0.15021176037338288,0.01814844096079469,0.002337969281467274
10,0.5,WGAN,10,2.326990726692317,0.08094994629669354,2.5367848856489217,0.10210421139393364,0.23107252717018129,0.0618674707134948,0.7821269571781159,0.0135923193256684,0.4995118141174316,0.01658912629996008,5.352740955352783,0.15144970575661942,0.018470706418156624,0.001350749764730266
10,0.8,Best diagonal Gaussian,10,2.406794542035902,0.044161361656981424,2.684427628977962,0.06479038330007739,0.08190138004720211,0.027793977656419524,0.5247611612081527,0.023348068994722318,0.7978739142417908,0.02531411361937667,7.7506725788116455,0.24984562044328343,0.017331707570701838,0.001742280327797425
