data_dim,rho,seed,product_minus_diag_w1,product_minus_diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2
10,0.5,0,0.14799818872462422,0.1174599038546229,-0.10865081628774176,-0.0766691695649091
10,0.5,1,0.18126359676926196,0.1681027998103759,-0.08928360174608363,-0.056159578322444226
10,0.5,2,0.13508180138156956,0.11213605242744284,-0.06432112187321692,-0.06340562384275605
10,0.8,0,0.5358563427178096,0.4658401249723405,-0.0925100372601877,0.020123534553818878
10,0.8,1,0.4584517517578015,0.3664975429988653,-0.12738075972578677,-0.0614751432701266
10,0.8,2,0.4366731409354023,0.35597383042467623,-0.10741423202757483,-0.03995991504068108
20,0.5,0,0.3543563777176004,0.32006077870963257,-0.2151503505021437,-0.19773596837854512
20,0.5,1,0.34205374461120464,0.33509484917018817,-0.2018622791310336,-0.1570743844266662
20,0.5,2,0.36354476990147866,0.35257192073536014,-0.16916532960443753,-0.12580351571830217
20,0.8,0,0.9275904489328122,0.7546996689025693,-0.1656702876403302,-0.0944666327703052
20,0.8,1,0.8237535445507143,0.6784089271579772,-0.19326485367076618,-0.09789538265756725
20,0.8,2,0.8287169377728616,0.6934659943535078,-0.1330438160362526,-0.0736684537911918
