method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std
Best diagonal Gaussian,30,0.15121113680387305,0.01787086860009281,0.19648222589162942,0.017759901022890268,0.04727138049590091,0.024053643260973367,0.04264932771523793,0.024769276021673156,-0.001453975778228293,0.02050471498555619
Product marginals,30,0.15752798544067656,0.016309415071614604,0.20562450632833096,0.01604315592602744,0.05776218765725692,0.021632334797376827,0.041463785370190936,0.02332814461506977,-0.004722547636629315,0.0203115819175113
WGAN,30,0.16804644888770398,0.026250575736870653,0.21739048107268288,0.027657283112997318,0.06742110929141441,0.042974549913221284,0.0525220533212026,0.03263728042833369,-0.0014743177957522373,0.02410684150214788
