rho,seed,diag_var_1,diag_var_2,diag_var_mean,gaussian_w2,theoretical_diag_var
0.0,0,0.9996901750564575,1.0082005262374878,1.0039453506469727,0.000951044135350101,1.0
0.0,1,1.004706859588623,1.0183707475662231,1.0115387439727783,0.002288386749231553,1.0
0.0,2,0.9778614640235901,0.9935959577560425,0.9857287406921387,0.004213533439210625,1.0
0.2,0,0.989726185798645,0.9974449276924133,0.9935855865478516,0.14089655814818072,0.9898979485566356
0.2,1,0.9948830604553223,1.0068413019180298,1.0008621215820312,0.13977209605308263,0.9898979485566356
0.2,2,0.9673920273780823,0.9850029349327087,0.9761974811553955,0.14411609222576915,0.9898979485566356
0.4,0,0.9582306742668152,0.964667797088623,0.9614492654800415,0.28747755917449175,0.9582575694955839
0.4,1,0.9634196758270264,0.9729135632514954,0.9681665897369385,0.2866650289541977,0.9582575694955839
0.4,2,0.9358628392219543,0.9542258381843567,0.9450443387031555,0.288455767245532,0.9582575694955839
0.6,0,0.900126039981842,0.9047924280166626,0.9024592638015747,0.445663228215238,0.9
0.6,1,0.9052131175994873,0.9115219116210938,0.9083675146102905,0.4453136417193705,0.9
0.6,2,0.8783084750175476,0.8960267901420593,0.8871676325798035,0.4440215114683237,0.9
0.8,0,0.8002913594245911,0.8026463985443115,0.8014688491821289,0.6310415969798564,0.7999999999999999
0.8,1,0.8050657510757446,0.8074493408203125,0.8062575459480286,0.6314255011577425,0.7999999999999999
0.8,2,0.7799392342567444,0.7950433492660522,0.7874913215637207,0.626180576551932,0.7999999999999999
