rho,seed,wgan_var_1,wgan_var_2,wgan_var_mean,theoretical_diag_var
0.0,0,1.103611707687378,1.0275181531906128,1.0655649304389954,1.0
0.0,1,0.9960001707077026,0.9994649887084961,0.9977325797080994,1.0
0.0,2,0.9007677435874939,0.9659850597381592,0.9333764016628265,1.0
0.0,3,0.9920096397399902,0.9641590714454651,0.9780843555927277,1.0
0.0,4,1.0248395204544067,0.9944320321083069,1.0096357762813568,1.0
0.0,5,0.9006875157356262,0.9604180455207825,0.9305527806282043,1.0
0.0,6,1.0437288284301758,0.9935006499290466,1.0186147391796112,1.0
0.0,7,1.057974100112915,0.9775680303573608,1.017771065235138,1.0
0.0,8,1.0069266557693481,1.018932819366455,1.0129297375679016,1.0
0.0,9,0.9075376987457275,0.9533631801605225,0.930450439453125,1.0
0.0,10,0.9338220953941345,0.8976441621780396,0.915733128786087,1.0
0.0,11,0.9579854011535645,0.9982222318649292,0.9781038165092468,1.0
0.0,12,1.0086288452148438,1.0291376113891602,1.018883228302002,1.0
0.0,13,0.9588014483451843,0.9505597352981567,0.9546805918216705,1.0
0.0,14,1.0256710052490234,1.0274426937103271,1.0265568494796753,1.0
0.0,15,1.0299580097198486,1.1411900520324707,1.0855740308761597,1.0
0.0,16,0.9637560248374939,0.9817659854888916,0.9727610051631927,1.0
0.0,17,0.8161364197731018,0.7206740975379944,0.7684052586555481,1.0
0.0,18,1.067957878112793,1.0667240619659424,1.0673409700393677,1.0
0.0,19,1.1370186805725098,0.9961227178573608,1.0665706992149353,1.0
0.0,20,0.9421007633209229,1.012380599975586,0.9772406816482544,1.0
0.0,21,0.9988321661949158,1.0829542875289917,1.0408932268619537,1.0
0.0,22,0.9914231896400452,0.8998857736587524,0.9456544816493988,1.0
0.0,23,1.2532241344451904,1.0514438152313232,1.1523339748382568,1.0
0.0,24,0.974797785282135,1.0405771732330322,1.0076874792575836,1.0
0.0,25,0.9899486303329468,0.9586073756217957,0.9742780029773712,1.0
0.0,26,1.0186160802841187,1.1115158796310425,1.0650659799575806,1.0
0.0,27,0.748367428779602,0.6444479823112488,0.6964077055454254,1.0
0.0,28,1.0186315774917603,0.8905559182167053,0.9545937478542328,1.0
0.0,29,1.107475996017456,1.09688401222229,1.102180004119873,1.0
0.0,30,0.9695492386817932,0.9878735542297363,0.9787113964557648,1.0
0.0,31,1.0064897537231445,0.839501678943634,0.9229957163333893,1.0
0.0,32,1.004709005355835,0.8892700672149658,0.9469895362854004,1.0
0.0,33,0.9336385726928711,0.8893663287162781,0.9115024507045746,1.0
0.0,34,0.9933018088340759,0.9545001983642578,0.9739010035991669,1.0
0.0,35,1.039559006690979,0.9165167808532715,0.9780378937721252,1.0
0.0,36,0.8497799634933472,0.9436120390892029,0.896696001291275,1.0
0.0,37,1.00711190700531,0.9329694509506226,0.9700406789779663,1.0
0.0,38,1.0445659160614014,1.0663673877716064,1.055466651916504,1.0
0.0,39,1.1783241033554077,0.8351702094078064,1.006747156381607,1.0
0.0,40,1.0283921957015991,0.9535561800003052,0.9909741878509521,1.0
0.0,41,1.0599956512451172,1.072438359260559,1.0662170052528381,1.0
0.0,42,0.9260525107383728,1.0688772201538086,0.9974648654460907,1.0
0.0,43,0.883720874786377,0.9638156294822693,0.9237682521343231,1.0
0.0,44,0.9235381484031677,1.019665241241455,0.9716016948223114,1.0
0.0,45,0.9287479519844055,1.0797072649002075,1.0042276084423065,1.0
0.0,46,0.8164623379707336,0.7464458346366882,0.7814540863037109,1.0
0.0,47,0.9477887749671936,0.8382087349891663,0.8929987549781799,1.0
0.0,48,1.0472491979599,1.005218744277954,1.026233971118927,1.0
0.0,49,1.0859276056289673,1.0238466262817383,1.0548871159553528,1.0
0.2,0,0.7378291487693787,1.1450872421264648,0.9414581954479218,0.9898979485566356
0.2,1,0.9469037652015686,0.9156852960586548,0.9312945306301117,0.9898979485566356
0.2,2,0.9177803993225098,0.953307569026947,0.9355439841747284,0.9898979485566356
0.2,3,0.9504859447479248,1.02205228805542,0.9862691164016724,0.9898979485566356
0.2,4,1.0044522285461426,0.9307111501693726,0.9675816893577576,0.9898979485566356
0.2,5,0.8808818459510803,0.8996425867080688,0.8902622163295746,0.9898979485566356
0.2,6,0.9411711692810059,0.9301931262016296,0.9356821477413177,0.9898979485566356
0.2,7,0.9481552243232727,1.000204086303711,0.9741796553134918,0.9898979485566356
0.2,8,0.9431753158569336,1.0045382976531982,0.9738568067550659,0.9898979485566356
0.2,9,0.8687925338745117,0.9262642860412598,0.8975284099578857,0.9898979485566356
