rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std,cov_12_mean,cov_12_std
0.0,Best diagonal Gaussian,20,0.1974814448404762,0.02001249179192302,0.2538750787117352,0.02243377626254732,0.05021749348379671,0.022291123567602034,0.04317139685153961,0.024530961795209975,-0.0028833815595135093,0.021507444900976787,-0.003084668214432895,0.02110615863393141
0.0,Product marginals,20,0.1998753968960962,0.013661117264023517,0.25788622074674966,0.017892680980350014,0.05814975197426975,0.03120102131766235,0.042055638134479524,0.0251940366399303,0.002321025263518095,0.025905606745390043,0.002335492696147412,0.025508298615917545
0.0,WGAN,20,0.22222144833270896,0.03905188324775202,0.2798400079717573,0.039111849253541144,0.09766855905763805,0.05092962144058708,0.06089976131916046,0.043341879229891196,-0.003559130313806236,0.023070242090941148,-0.0037640990514773874,0.023645157195530345
0.2,Best diagonal Gaussian,20,0.22698533062261433,0.023405406934730255,0.29074442798530176,0.02909196417505807,0.0500707137864083,0.022595911671615312,0.046443532407283786,0.023291882466483716,-0.0028833796735852958,0.021507446037789143,-0.0030602416780311616,0.02089996253422968
0.2,Product marginals,20,0.23803671192371842,0.026785621472139434,0.30669851541109994,0.03334932132487655,0.057917782268486914,0.03184460786158053,0.042678502202033994,0.024285114557117665,0.002427258122042986,0.02681224546944355,0.002384208738658344,0.026448511897595194
0.2,WGAN,20,0.23105042067104914,0.023283130576701342,0.29905402879768417,0.028829465676137825,0.06377013074234128,0.029181470478356394,0.06282521784305573,0.03927047483091,-0.0005579932971158996,0.024523886469244124,-0.0008537536457879468,0.02391626123337216
0.4,Best diagonal Gaussian,20,0.2915832280358911,0.03256196662445449,0.3765951032938522,0.035033715974327966,0.04979163017123937,0.02279814754712849,0.05907956659793854,0.028945749329184894,-0.002883380139246583,0.0215074459340635,-0.0029654629935976116,0.02024494591664003
0.4,Product marginals,20,0.28877040506391827,0.032695650195676954,0.37476590424641787,0.03394697215629445,0.05711070586694404,0.03340597800456888,0.04341019690036774,0.021557656765012246,0.0024018168915063143,0.02725090891852927,0.002332318591652438,0.026891303320261968
0.4,WGAN,20,0.29351733256856705,0.023309053780973598,0.3811369205555746,0.026945920667859537,0.06064080214127898,0.032307883004278504,0.06895121335983276,0.03674641610864909,1.3366393250180409e-05,0.02453283930106571,-0.00016678703177603894,0.023048278760477565
0.6,Best diagonal Gaussian,20,0.40725967634067184,0.029667740219664226,0.5142843424372605,0.032905239073804056,0.04920181543566286,0.02325264117494429,0.10485095083713532,0.038002242138902985,-0.0028833803022280335,0.02150744559774759,-0.002783369377721101,0.019033302143125284
0.6,Product marginals,20,0.41841796102442624,0.03700587067412004,0.5242754578235788,0.04383856200626223,0.055961985897738487,0.03532479805884008,0.04187711924314499,0.01884569939962801,0.002208817796781659,0.027088512855875362,0.002156101132277399,0.026685524495883236
0.6,WGAN,20,0.4170766682369404,0.02929282428480275,0.5268805179597035,0.03189701916734585,0.05583689725026488,0.02534208271497536,0.11453161537647247,0.05544422687342783,0.001286812374019064,0.025587984167145226,0.00088971614750335,0.022647058299234062
0.8,Best diagonal Gaussian,20,0.5423826988638648,0.0343095038239054,0.681802176466243,0.04070164878406387,0.04805475771427155,0.024185071602934403,0.20403237044811248,0.03905225503740656,-0.0028833800461143255,0.02150744568189116,-0.002464976697228849,0.01694472021504765
0.8,Product marginals,20,0.5576497204134101,0.03684910603704059,0.6922088470840967,0.04659278720555078,0.05487317432416603,0.03686689970257129,0.04077351540327072,0.01822110190274216,0.0017722769000101835,0.025978271412819085,0.0017849053198006003,0.025493282974811522
0.8,WGAN,20,0.5572880126361726,0.031327628946495635,0.6989261080628502,0.039677267491457544,0.06493577184155583,0.030134828838712328,0.22608520537614823,0.06089255904593755,0.0018703425743296976,0.025389038222785584,0.00159019462789729,0.019752112221968966
