rho,seed,product_minus_diag_w1,product_minus_diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2
0.0,0,0.04156309670144956,0.042118871159752935,0.03331704984312253,0.03240460320004218
0.0,1,0.01686275356003214,0.0258184098915914,0.004879102080986991,0.0029002502288245913
0.0,2,-0.0035191168202717282,-0.0025473643115110356,0.011899232865442061,0.023484567732189626
0.0,3,-0.006617471386157148,0.006652361351237868,-0.01370134198559686,-0.014865938112544663
0.0,4,0.03748526141782271,0.04268744685692619,0.029126757521130614,0.019999586754750026
0.0,5,-0.034366552706335596,-0.03747872015583814,-0.0007217482792716279,-0.01257288015032515
0.0,6,-0.02498561344505526,-0.03897359427080105,0.033757752770814914,0.026806093402759024
0.0,7,0.030200782418371624,0.02916092859627384,0.042431803023424475,0.03548897805135015
0.0,8,-0.001334084364251531,0.016258051217089287,0.0982023421839151,0.10899194094152098
0.0,9,0.01454379246673021,0.012283520296860362,0.023247752458871784,0.020707811687604716
0.0,10,-0.023540358535445283,-0.029524608689330822,-0.03699924811450686,-0.04024972963328416
0.0,11,-0.0017888450932737887,-0.012191567417877414,-0.02425412558991552,-0.018732449097788983
0.0,12,-0.0030061708229429107,-0.0011216664875208227,0.03200913942544609,0.029062817016085096
0.0,13,0.013486894531376137,0.005593950944828702,-0.004558330206161393,-0.006064318438971539
0.0,14,-0.0025129809202335263,-0.005203563411731393,0.04794120743007388,0.059735127169666835
0.0,15,-0.01486362567442931,0.0016527774145835283,0.07051795182438339,0.08143147764922276
0.0,16,0.017341465667356365,0.03374770201720578,-0.005502077971651892,-0.005070262020433397
0.0,17,-0.0006313822627483645,0.0012141920190165412,0.03637922758067022,0.057456708245577914
0.0,18,-0.015061385646922443,-0.01989848452110221,0.0155906374517297,0.03406615588419254
0.0,19,0.008622582027327824,0.009974198200635387,0.10123698553174659,0.08431804469000342
0.2,0,0.04525010616001973,0.041525021257642514,0.0171371986279773,0.016568125620168128
0.2,1,-0.019726836880299914,-0.004976543253279675,-0.061217819431353154,-0.0610536770827555
