mean_error,var_error,cov_12,corr,w1,w2,rho,seed,method
0.03861084580421448,0.046623677015304565,-0.00170460669323802,-0.0017964716535061598,0.16758141998161227,0.22268011825259798,0.0,0,Best diagonal Gaussian
0.07205481082201004,0.04448437690734863,0.005878848023712635,0.005903233774006367,0.20914451668306183,0.2647989894123509,0.0,0,Product marginals
0.08627233654260635,0.07007750868797302,0.010268579237163067,0.009642896242439747,0.2008984698247348,0.25508472145264016,0.0,0,WGAN
0.07054585218429565,0.008103102445602417,0.0015174318104982376,0.0015023828018456697,0.17888393625522697,0.23518179736740202,0.0,1,Best diagonal Gaussian
0.04369025304913521,0.07137343287467957,-0.03446446359157562,-0.034433286637067795,0.1957466898152591,0.2610002072589934,0.0,1,Product marginals
0.1077503189444542,0.030535131692886353,0.04036208987236023,0.04045388102531433,0.18376303833621396,0.23808204759622661,0.0,1,WGAN
0.08753408491611481,0.0419316291809082,-0.021274926140904427,-0.02117408998310566,0.18554251134262673,0.23506093218273214,0.0,2,Best diagonal Gaussian
0.0972646027803421,0.04946577548980713,0.006381903309375048,0.006727741099894047,0.182023394522355,0.2325135678712211,0.0,2,Product marginals
0.12442781776189804,0.06519892811775208,-0.014200150966644287,-0.015223038382828236,0.1974417442080688,0.25854549991492176,0.0,2,WGAN
0.05565448850393295,0.05718308687210083,-0.017981654033064842,-0.017940834164619446,0.213324844954252,0.2751577175380134,0.0,3,Best diagonal Gaussian
0.029544059187173843,0.08074209094047546,0.0031656643841415644,0.003087021177634597,0.20670737356809485,0.28181007888925125,0.0,3,Product marginals
0.05459098890423775,0.03293329477310181,0.03130296617746353,0.0320076048374176,0.19962350296865514,0.2602917794254687,0.0,3,WGAN
0.043634384870529175,0.02367532253265381,0.016879187896847725,0.017308467999100685,0.18146385538518583,0.24175052999708854,0.0,4,Best diagonal Gaussian
0.10079008340835571,0.008448660373687744,0.02038257010281086,0.020587561652064323,0.21894911680300855,0.28443797685401473,0.0,4,Product marginals
0.06309447437524796,0.014461100101470947,0.01278612483292818,0.01266553346067667,0.21059061290631645,0.26175011675183857,0.0,4,WGAN
0.09146811813116074,0.08302724361419678,0.011664447374641895,0.011803993955254555,0.25220871963073005,0.31661561363438906,0.0,5,Best diagonal Gaussian
0.11352831870317459,0.05079120397567749,-0.0764082595705986,-0.0788927674293518,0.21784216692439445,0.2791368934785509,0.0,5,Product marginals
0.10546179860830307,0.0890568196773529,-0.013241194188594818,-0.014236719347536564,0.2514869713514584,0.3040427334840639,0.0,5,WGAN
0.06576504558324814,0.004419833421707153,0.009844426065683365,0.009905463084578514,0.20435073225173025,0.26598069311923683,0.0,6,Best diagonal Gaussian
0.078935906291008,0.033452242612838745,0.028278592973947525,0.028403310105204582,0.179365118806675,0.22700709884843578,0.0,6,Product marginals
0.16043175756931305,0.02032756805419922,0.003047419246286154,0.0029926386196166277,0.23810848502254517,0.29278678652199586,0.0,6,WGAN
0.046614665538072586,0.04410374164581299,0.02995729073882103,0.03162478655576706,0.19735018733189347,0.2567835352656378,0.0,7,Best diagonal Gaussian
0.014447003602981567,0.05144786834716797,0.004972442518919706,0.004862963687628508,0.2275509697502651,0.28594446386191164,0.0,7,Product marginals
0.16832813620567322,0.04665780067443848,-0.0036667294334620237,-0.0036055196542292833,0.23978199035531794,0.29227251331698795,0.0,7,WGAN
0.019614238291978836,0.03814980387687683,-0.0289018377661705,-0.0274445042014122,0.20435454135678843,0.2553995312785966,0.0,8,Best diagonal Gaussian
0.0660889521241188,0.029625803232192993,-0.006192648783326149,-0.00610343599691987,0.2030204569925369,0.2716575824956859,0.0,8,Product marginals
0.16254469752311707,0.03209850192070007,-0.023642584681510925,-0.023341204971075058,0.30255688354070354,0.3643914722201176,0.0,8,WGAN
0.02622353844344616,0.009617060422897339,0.003922265954315662,0.0038842796348035336,0.16996694996039272,0.22753875675480636,0.0,9,Best diagonal Gaussian
0.06840503960847855,0.0038635432720184326,0.03600875288248062,0.035904135555028915,0.18451074242712293,0.23982227705166673,0.0,9,Product marginals
0.0836254358291626,0.07114782929420471,0.002966134110465646,0.003188814502209425,0.1932147024192645,0.24824656844241108,0.0,9,WGAN
0.05710082873702049,0.0648641288280487,-0.015843084082007408,-0.015560460276901722,0.2198421400006313,0.273953184137061,0.0,10,Best diagonal Gaussian
0.020960478112101555,0.06151515245437622,-0.0028779967688024044,-0.0028356355614960194,0.196301781465186,0.24442857544773017,0.0,10,Product marginals
0.06750434637069702,0.037750691175460815,-0.0016877466114237905,-0.0018434147350490093,0.18284289188612443,0.23370345450377683,0.0,10,WGAN
0.009504235349595547,0.08344635367393494,0.03930974751710892,0.04079527407884598,0.21216502606039914,0.28228705056988074,0.0,11,Best diagonal Gaussian
0.08965025842189789,0.04296353459358215,0.031104950234293938,0.03097744658589363,0.21037618096712535,0.2700954831520033,0.0,11,Product marginals
0.04654425010085106,0.0694577693939209,0.025747541338205338,0.026329506188631058,0.18791090047048362,0.26355460147209175,0.0,11,WGAN
0.020117612555623055,0.0619257390499115,-0.04468516260385513,-0.046276457607746124,0.18225151384664443,0.2337449880338413,0.0,12,Best diagonal Gaussian
0.007643857970833778,0.06901130080223083,0.02368209883570671,0.02470260113477707,0.17924534302370151,0.23262332154632048,0.0,12,Product marginals
0.02156473696231842,0.016910791397094727,-0.007116938941180706,-0.006985393352806568,0.2142606532720905,0.2628078050499264,0.0,12,WGAN
0.06632272899150848,0.02529054880142212,0.004028812516480684,0.003977309912443161,0.19027459471088667,0.2493410694546073,0.0,13,Best diagonal Gaussian
0.07880730926990509,0.014048337936401367,0.008376493118703365,0.008314628154039383,0.2037614892422628,0.254935020399436,0.0,13,Product marginals
0.07083454728126526,0.0540522038936615,-0.004550248850136995,-0.004766296595335007,0.18571626450472528,0.24327675101563576,0.0,13,WGAN
0.05228118225932121,0.06808322668075562,0.027972092851996422,0.028459835797548294,0.2001902127829795,0.2651268217240476,0.0,14,Best diagonal Gaussian
0.03719554841518402,0.05919340252876282,-0.03016122244298458,-0.029622744768857956,0.19767723186274597,0.2599232583123162,0.0,14,Product marginals
0.17661380767822266,0.06750747561454773,0.022825635969638824,0.022235147655010223,0.24813142021305337,0.32486194889371445,0.0,14,WGAN
0.0450311154127121,0.01926589012145996,-0.02092408947646618,-0.020687008276581764,0.22497314969917173,0.2661127814154449,0.0,15,Best diagonal Gaussian
0.06427683681249619,0.008047312498092651,0.003524797735735774,0.0035488104913383722,0.21010952402474242,0.26776555883002845,0.0,15,Product marginals
0.18039648234844208,0.09336143732070923,-0.04079708456993103,-0.037630531936883926,0.2954911015235551,0.3475442590646677,0.0,15,WGAN
