data_dim,rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,diag_var_error_mean,diag_var_error_std,offdiag_cov_error_mean,offdiag_cov_error_std,cov_fro_error_mean,cov_fro_error_std,avg_abs_corr_mean,avg_abs_corr_std
10,0.5,Best diagonal Gaussian,3,2.415522810979724,0.029360945440610728,2.568742746952514,0.04085156700933858,0.10714168349901836,0.012657554468497888,0.2506501575311025,0.003730398142347628,0.5073932210604349,0.011275880172545102,4.885360876719157,0.10806947050757325,0.018057240173220634,0.00031426669526478515
10,0.5,Product marginals,3,2.5703040066048763,0.04099254722269795,2.701308998983327,0.05301124867785716,0.09504586706558864,0.012709391898673442,0.03151942417025566,0.008613179566392952,0.5084507962067922,0.010385068217163172,4.832571665445964,0.0982915168185153,0.017250387308498222,0.0018683011797743147
10,0.5,WGAN,3,2.43114351616028,0.051508882479442145,2.5835650997998734,0.07295893345094193,0.10756439963976543,0.01941731268414332,0.25446165601412457,0.04320929274953564,0.506165623664856,0.011652355779935314,4.884312470753987,0.12562507195046163,0.017511450375119846,0.0005696831137268308
10,0.8,Best diagonal Gaussian,3,2.391764938354249,0.04835487683757828,2.6473407252437386,0.0663803133850882,0.08984818309545517,0.0074491454754050225,0.5388390223185221,0.012886026516612418,0.8139735460281372,0.01865206783513633,7.909576257069905,0.18165997894095098,0.018057242035865784,0.000314268011988416
10,0.8,Product marginals,3,2.868758683491253,0.008998178339418125,3.0434445580423666,0.021398208079577374,0.08724838991959889,0.012713338989351324,0.02856941583255927,0.006706720860783811,0.8137642542521158,0.017828216256886735,7.72405465443929,0.16844541661386891,0.017433715984225273,0.001458150871560457
10,0.8,WGAN,3,2.546190603933144,0.09506335217245485,2.7856423481787496,0.05522990111170023,0.24239889780680338,0.10477039349966186,0.38162171840667725,0.12849914342164984,0.8133349021275839,0.01883711746746684,7.826441764831543,0.23628721146245546,0.017600559319059055,0.0005700983365557217
20,0.5,Best diagonal Gaussian,3,4.108030634564678,0.03963686621038738,4.263803774744779,0.05383284487466841,0.12833411991596222,0.007919190058267734,0.3101656635602315,0.010587863498930034,0.5067490140597025,0.008989857437500205,9.988911310831705,0.17906392800620155,0.01828911652167638,0.000797732771442086
20,0.5,Product marginals,3,4.461348931974773,0.048440312650584905,4.599712957616505,0.05625902667564032,0.1332455649971962,0.010212346672359655,0.039333912233511605,0.001264310281824351,0.5068723956743876,0.010016872004217272,9.900993665059408,0.19542613498787476,0.018241959313551586,0.0006560579476816136
20,0.5,WGAN,3,3.927126103970561,0.2114499492192384,4.143261266175319,0.15446977268223133,0.26835110783576965,0.06721083364703473,0.6458791792392731,0.22710859218015492,0.5078852971394857,0.01015875318866371,10.386372248331705,0.13844610304309946,0.0186726376414299,0.000765441834166886
20,0.8,Best diagonal Gaussian,3,3.886150280387705,0.09725156815328265,4.2605132282535045,0.08846010182597366,0.09910710404316585,0.005822267972155176,0.6235698660214742,0.013265962933070734,0.8178783059120178,0.013546503559657128,16.18900775909424,0.2699367269688556,0.01828911465903123,0.0007977302100066343
20,0.8,Product marginals,3,4.746170590806501,0.0511247962737027,4.969371425058189,0.05657671884394496,0.11649421602487564,0.0034094909188216956,0.03749841824173927,0.0013630518048198877,0.8173640767733256,0.014320688566175374,15.942880312601725,0.27855036545599904,0.017511400083700817,0.00025778034400151167
20,0.8,WGAN,3,4.0329784552494745,0.07853050626270125,4.416537166592612,0.08749900641745623,0.5364786287148794,0.36132934486890567,0.6159251928329468,0.03360327617074125,0.8182474772135416,0.014327274682414817,16.22040303548177,0.29616437769417553,0.018656835580865543,0.0013037465224115896
