mean_error,diag_var_error,real_diag_var_mean,candidate_diag_var_mean,theoretical_diag_var,candidate_minus_theoretical_diag_var,offdiag_cov_error,cov_fro_error,avg_abs_corr,w1,w2,data_dim,rho,seed,method
0.16868343949317932,0.44894295930862427,0.9944843053817749,0.5455414056777954,0.7584962311319862,-0.21295482545419075,0.49162834882736206,4.8824591636657715,0.016424179077148438,2.340068708354181,2.536814011907571,10,0.5,0,WGAN
0.11229297518730164,0.2455294132232666,0.9944843053817749,0.7489549517631531,0.7584962311319862,-0.009541279368833089,0.49204254150390625,4.738259792327881,0.017612800002098083,2.448719524641923,2.61348318147248,10,0.5,0,Best diagonal Gaussian
0.10751430690288544,0.03794797509908676,0.9944843053817749,1.0077388286590576,0.7584962311319862,0.24924259752707145,0.49382051825523376,4.694295883178711,0.018015634268522263,2.596717713366547,2.730943085327103,10,0.5,0,Product marginals
0.10018542408943176,0.5001832246780396,1.0205541849136353,0.5203710794448853,0.7584962311319862,-0.2381251516871009,0.5188342332839966,5.1775031089782715,0.016915706917643547,2.3312413460837575,2.521867270663054,10,0.5,1,WGAN
0.11941254138946533,0.2521117627620697,1.0205541849136353,0.7684425115585327,0.7584962311319862,0.00994628042654655,0.5188083052635193,4.994820594787598,0.01827927492558956,2.420524947829841,2.5780268489854983,10,0.5,1,Best diagonal Gaussian
0.10002309083938599,0.03726537153124809,1.0205541849136353,1.0108014345169067,0.7584962311319862,0.2523052033849206,0.5168797969818115,4.914025783538818,0.019057882949709892,2.601788544599103,2.746129648795874,10,0.5,1,Product marginals
0.19962327182292938,0.48663339018821716,1.0066943168640137,0.5200608968734741,0.7584962311319862,-0.23843533425851204,0.5114610195159912,5.096230506896973,0.017923373728990555,2.3130028385941914,2.4513125865568064,10,0.5,2,WGAN
0.08971953392028809,0.2543092966079712,1.0066943168640137,0.7523849606513977,0.7584962311319862,-0.00611127048058846,0.5113288164138794,4.923002243041992,0.01827964559197426,2.3773239604674083,2.5147182103995624,10,0.5,2,Best diagonal Gaussian
0.07760020345449448,0.01934492588043213,1.0066943168640137,0.9990547895431519,0.7584962311319862,0.2405585584111657,0.5146520733833313,4.889393329620361,0.014677644707262516,2.512405761848978,2.6268542628270053,10,0.5,2,Product marginals
0.10835003107786179,0.7954533696174622,0.9909061193466187,0.1954527199268341,0.4745124725475825,-0.2790597526207484,0.7895649671554565,7.902700424194336,0.017213981598615646,2.2309879309872915,2.5745461298488146,10,0.8,0,WGAN
