data_dim,rho,seed,product_minus_diag_w1,product_minus_diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2
2,0.2,0,0.00667352869241189,0.01811719437495496,0.24899012846257834,0.2981957291174172
2,0.2,1,-0.04402857466926652,-0.030057726322576972,0.3791836243516081,0.4382189069322741
2,0.2,2,-0.0010301676467100451,0.016121943875278932,0.45295954190820703,0.4940931992556922
2,0.2,3,0.036831942262090744,0.04284770971134938,0.3423523812524415,0.373343357627473
2,0.2,4,0.041578139723198904,0.008711790254410101,0.36495449160582977,0.37215201372562756
2,0.2,5,0.0023228175043630284,-0.01269512740269313,0.36626351675277136,0.4024610152055104
2,0.2,6,-0.04334605049142076,-0.06726208630818148,0.3922302309302116,0.4303972045521319
2,0.2,7,0.01553501184206324,0.004333575145659296,0.45195814644306115,0.49904713071053114
2,0.2,8,-0.06934443308063432,-0.05377501918848854,0.2665089818145908,0.3328843648657698
2,0.2,9,-0.0036828537120721094,-0.007613784518288924,0.42636043508759475,0.4543624478762212
2,0.5,0,0.03711265620061227,0.07290421296324051,0.20688446772016333,0.23538792688331406
2,0.5,1,0.00044123634290021974,-0.02309910102763424,0.3155187881290101,0.3560171241891892
2,0.5,2,0.07069525595262405,0.09060869956810597,0.427553812353839,0.47898168370503785
2,0.5,3,0.000838971162661073,-0.012921213091866002,0.20450926975564504,0.2310984335322615
2,0.5,4,0.019459582969053646,0.04321610084871186,0.2782552675410389,0.329413878182514
2,0.5,5,0.06434479421732187,0.10553441408254777,0.3132668753126828,0.347129049280441
2,0.5,6,-0.004317918491546724,0.01751369266673919,0.37731412695016525,0.44875440285237456
2,0.5,7,0.0985983568750739,0.09993372420065877,0.3251862626610624,0.3695752542738055
2,0.5,8,-0.04022455788008128,-0.03631566743049558,0.2880040831591091,0.3449037590076691
2,0.5,9,0.023800981745187633,0.05546620141272601,0.27729560291972405,0.336340080229026
2,0.8,0,-0.05114262395781377,-0.07330435235544197,0.11657522895502004,0.15122964940512618
2,0.8,1,-0.04121454921946455,-0.03134297409591558,0.10316038964177221,0.16954671908932595
2,0.8,2,-0.04830382280581447,-0.04050723695655234,0.12438149879275251,0.1723398873743357
2,0.8,3,-0.10357298293207995,-0.0939880183462215,0.04314111922933117,0.09095295240461354
2,0.8,4,-0.028150031444172052,-0.01205010703164855,0.03405753664085143,0.09450286124563867
2,0.8,5,0.09443819365142103,0.11012080188009465,0.21539448136367068,0.26356975361295576
2,0.8,6,-0.0298234859961507,-0.05735676595860828,0.13703728711043872,0.15906807298348002
2,0.8,7,0.055060826583096856,0.03925982958783947,0.15614585977995576,0.18367661043249162
2,0.8,8,0.05028777067482626,0.0579176851916825,0.1675786155292096,0.20799404419090328
2,0.8,9,0.03985815811968374,0.04058482862989643,0.2376806044554034,0.2939757970220428
5,0.2,0,-0.04161768288515599,-0.06914279281127556,0.1644934349154623,0.1749258095788735
5,0.2,1,-0.008845544013476925,-0.0005879482963564442,0.20736137336921412,0.2395293767660922
5,0.2,2,0.02680886152140638,0.03376096895171932,0.29851503890252484,0.3351943493131653
5,0.2,3,-0.011865203292774185,-0.022692579034604643,0.1430097951286018,0.1787390604189225
5,0.2,4,-0.007886275266573595,-0.00996602094916943,0.12061054274285299,0.14888373179251757
5,0.2,5,0.027966951222319958,0.033645306881474824,0.2643768567096423,0.309013372772621
5,0.2,6,0.01595466456746597,0.026368382382498723,0.2694847964951641,0.3045117012865337
5,0.2,7,0.00999872515423017,0.005334921659477798,0.1619953487263428,0.18791132748960826
5,0.2,8,-0.021437716540807727,-0.031012986899981776,0.2408586381322373,0.27676565533140307
5,0.2,9,-0.03674258113580975,-0.04835465171371012,0.163732359464956,0.18264965273164835
5,0.5,0,0.14780801940683985,0.15454508541017598,0.09171258286080741,0.14999220266842483
5,0.5,1,0.06680750715592776,0.06794844576191283,0.07104902432586302,0.09849999334606152
5,0.5,2,0.05572873142306167,0.04206329739374848,0.11842363428244962,0.1742980209439826
5,0.5,3,0.08353464837889146,0.08335973889651327,0.0705374430796577,0.144326849930555
5,0.5,4,0.06833021012650131,0.04460966015962575,0.15818595889234355,0.20378177414862853
5,0.5,5,0.07929818894827068,0.07343423933439941,0.12059938104112056,0.16026423692317615
5,0.5,6,0.10090687922888275,0.09587876342654766,0.135934987684861,0.19779566534441972
5,0.5,7,0.05624304283393178,0.05296843714461441,0.08126934273929654,0.13294220644234
5,0.5,8,0.08793756642382045,0.08070408344822733,0.12977230872680878,0.19801245760168862
5,0.5,9,0.090303391542359,0.05846069190058012,0.10717252273001665,0.1483179995017545
5,0.8,0,0.28018813070387694,0.265840235511384,0.012461898921797276,0.07118928553279558
5,0.8,1,0.10731472969971345,0.0507919921720561,-0.046196088044902384,0.012448405075307756
5,0.8,2,0.18692646518050715,0.13867685012071052,-0.007181210164685092,0.07474785408071116
5,0.8,3,0.13785660743258088,0.11309497545575042,-0.027886709199656412,0.04850983818659316
5,0.8,4,0.20353435184739954,0.15447591963665674,-0.04697715334826991,0.006467109348948563
5,0.8,5,0.18954197729787037,0.13636192024869587,0.021163997004207458,0.06552925012654454
5,0.8,6,0.22589459599240058,0.17800849577517375,0.010590885424410335,0.12330935695135481
5,0.8,7,0.2316227380618272,0.20913023913439654,0.01304367231576875,0.10177509242120175
5,0.8,8,0.18398617091347846,0.15068688478479997,0.012868447095027769,0.060879858711723855
5,0.8,9,0.15015608827571758,0.10044633104753942,-0.04856260000031609,0.014833944910817687
10,0.2,0,0.09479311070246732,0.08492325073482254,-0.04662981825109869,-0.014702248178720012
10,0.2,1,-0.02040425495795306,-0.02875438514304207,-0.09617163834517317,-0.07698916879906692
10,0.2,2,0.08972440170359697,0.08318798287367368,-0.001920375468894342,0.030113626699540763
10,0.2,3,-0.046045208792145687,-0.046270537902193265,-0.13651015391074406,-0.10422761108919865
10,0.2,4,0.05786419542374022,0.05681243383352408,-0.09815893411325272,-0.08370789516250454
10,0.2,5,-0.014211640270382464,-0.025249534578553057,-0.06864277902320826,-0.05922490229212718
10,0.2,6,-0.0009927986813864642,0.0013642088977192657,-0.020345326668210095,0.00859472361623359
10,0.2,7,0.039884127871660624,0.03448878422362034,-0.08258474222351708,-0.05702359811163893
10,0.2,8,0.01178667116986487,0.009976160488366581,-0.09513139199944032,-0.058317607043251396
10,0.2,9,0.06798301593138323,0.06365839458960831,-0.06397608264197574,-0.0317521958728717
10,0.5,0,0.14799818872462422,0.1174599038546229,-0.051716852640731226,0.020535731691313508
10,0.5,1,0.18126359676926196,0.1681027998103759,-0.11000954846698896,-0.022453745815719017
10,0.5,2,0.13508180138156956,0.11213605242744284,-0.02991373086513649,0.005648319924204337
10,0.5,3,0.16815123318668768,0.14319917988389852,-0.1022656116809757,-0.02795197815407935
10,0.5,4,0.15351942732065238,0.15086108783344754,-0.10948438992274712,-0.031090147998033224
10,0.5,5,0.16920933081249467,0.15198083415765584,-0.09308762673850035,-0.040776454609028345
