mean_error,diag_var_error,offdiag_cov_error,cov_fro_error,avg_abs_corr,w1,w2,data_dim,rho,seed,method
0.041701484471559525,0.05627161264419556,0.20007392764091492,0.2957932651042938,0.0017964714206755161,0.2741973801718262,0.34655245172239557,2,0.2,0,Best diagonal Gaussian
0.0781799927353859,0.040420323610305786,0.18643467128276825,0.26986467838287354,0.011953824199736118,0.2808709088642381,0.36466964609735053,2,0.2,0,Product marginals
0.1277254819869995,0.6060677766799927,0.19577540457248688,0.9445210099220276,0.008209182880818844,0.5231875086344046,0.6447481808398128,2,0.2,0,WGAN
0.04281773045659065,0.07229381799697876,0.26907071471214294,0.3946404457092285,0.035816740244627,0.3227001888299198,0.4046507340121142,2,0.2,1,Product marginals
0.06792834401130676,0.02460581064224243,0.23148804903030396,0.3292195796966553,0.0015023808227851987,0.3667287634991863,0.4347084603346912,2,0.2,1,Best diagonal Gaussian
0.08010826259851456,0.8089312314987183,0.2243889421224594,1.1940375566482544,0.04205011576414108,0.7459123878507944,0.8729273672669653,2,0.2,1,WGAN
0.10449162870645523,0.04275283217430115,0.17410515248775482,0.2540178596973419,0.01281184982508421,0.3120177995970303,0.39129034445900374,2,0.2,2,Product marginals
0.09565352648496628,0.038071006536483765,0.20737731456756592,0.29817891120910645,0.02117408812046051,0.31304796724374034,0.3751684005837248,2,0.2,2,Best diagonal Gaussian
0.14830301702022552,0.7843037843704224,0.189316987991333,1.1412720680236816,0.014228541404008865,0.7660075091519474,0.869261599839417,2,0.2,2,WGAN
0.0532488115131855,0.04823926091194153,0.20594747364521027,0.29921460151672363,0.017940834164619446,0.25616248217581505,0.3394375919498345,2,0.2,3,Best diagonal Gaussian
0.02866552211344242,0.0798092782497406,0.18031194806098938,0.2825443744659424,0.007631069980561733,0.2929944244379058,0.3822853016611839,2,0.2,3,Product marginals
0.1711818128824234,0.6314111948013306,0.17831487953662872,0.9296834468841553,0.03151961788535118,0.5985148634282565,0.7127809495773075,2,0.2,3,WGAN
0.04145192727446556,0.0335942804813385,0.19046087563037872,0.2746930718421936,0.017308469861745834,0.3077939643752436,0.40783077564186376,2,0.2,4,Best diagonal Gaussian
0.10601487755775452,0.009094834327697754,0.18341360986232758,0.2597121596336365,0.023741796612739563,0.3493721040984425,0.41654256589627386,2,0.2,4,Product marginals
0.055545512586832047,0.7191199660301208,0.2040056437253952,1.0589492321014404,0.011353468522429466,0.6727484559810734,0.7799827893674913,2,0.2,4,WGAN
0.08981785923242569,0.08475923538208008,0.17591260373592377,0.28108149766921997,0.01180399302393198,0.28183553595941435,0.37281213957228937,2,0.2,5,Best diagonal Gaussian
0.10841741412878036,0.05584344267845154,0.2679245173931122,0.39176419377326965,0.0827052965760231,0.2841583534637774,0.36011701216959624,2,0.2,5,Product marginals
0.17967219650745392,0.6923977136611938,0.1916016936302185,1.026008129119873,0.013165323063731194,0.6480990527121857,0.7752731547777998,2,0.2,5,WGAN
0.06535491347312927,0.03261581063270569,0.16007713973522186,0.23107658326625824,0.023285696282982826,0.28258080905311395,0.353895745417971,2,0.2,6,Product marginals
0.05974508821964264,0.011420369148254395,0.17342445254325867,0.24579066038131714,0.00990546029061079,0.3259268595445347,0.42115783172615245,2,0.2,6,Best diagonal Gaussian
0.2107904553413391,0.749108612537384,0.18216879665851593,1.0965932607650757,0.004374593496322632,0.7181570904747463,0.8515550362782843,2,0.2,6,WGAN
0.046189576387405396,0.047322630882263184,0.18073250353336334,0.26896506547927856,0.031624794006347656,0.2572450486216789,0.3279173242552154,2,0.2,7,Best diagonal Gaussian
0.009408553130924702,0.04714304208755493,0.204502671957016,0.2976315915584564,0.005763399880379438,0.27278006046374215,0.3322508994008747,2,0.2,7,Product marginals
