mean_error,var_error,cov_12,corr,w1,w2,method,seed
0.0604553185403347,0.029636353254318237,-0.004533218219876289,-0.004691772628575563,0.19591931126042117,0.25216507491226836,WGAN,0
0.1000136137008667,0.007787913084030151,-0.008224068209528923,-0.008206488564610481,0.1987430176679745,0.24820531184920033,Best diagonal Gaussian,0
0.058312367647886276,0.01638054847717285,-0.0009954174747690558,-0.0009838556870818138,0.20131818119958986,0.2530514962899928,Product marginals,0
0.04104011505842209,0.06235501170158386,-0.0017174744280055165,-0.0017964700236916542,0.18207833452544525,0.23429761846500347,Best diagonal Gaussian,1
0.044474899768829346,0.03194659948348999,-0.01345410943031311,-0.013448831625282764,0.1911303297684319,0.2480160852775168,Product marginals,1
0.3071094751358032,0.17058065533638,-0.033535443246364594,-0.040011148899793625,0.33705682461556574,0.38849327215268925,WGAN,1
0.09031341224908829,0.03044620156288147,0.015260969288647175,0.015627261251211166,0.1860453424047475,0.24300303413665783,Product marginals,2
0.16860508918762207,0.08080798387527466,-0.0005124680465087295,-0.00047594556235708296,0.20612528904198255,0.2566118886876686,WGAN,2
0.11239108443260193,0.048284679651260376,0.0014786995016038418,0.001502381986938417,0.20665591532780048,0.25554604763855654,Best diagonal Gaussian,2
0.05361573398113251,0.07869207859039307,-0.021670160815119743,-0.02117409184575081,0.18179618710952739,0.2414146560648193,Best diagonal Gaussian,3
0.046264465898275375,0.08414050936698914,3.282710167695768e-05,3.189300332451239e-05,0.1936096655613528,0.2459193824174374,Product marginals,3
0.06082317233085632,0.042366623878479004,-0.026986805722117424,-0.028094815090298653,0.2238117933211086,0.27816026416463263,WGAN,3
0.08300801366567612,0.009554117918014526,-0.017985207960009575,-0.017940828576683998,0.18445811700608747,0.23084333866987375,Best diagonal Gaussian,4
0.11045181751251221,0.10311657190322876,0.01985967718064785,0.02115677110850811,0.20836926401464348,0.2781101703186304,WGAN,4
0.07720156759023666,0.01262754201889038,-0.025719884783029556,-0.025760425254702568,0.21407269719137625,0.2889139361051483,Product marginals,4
0.07420063018798828,0.07508069276809692,0.016343483701348305,0.017308466136455536,0.22923995792706828,0.2736813178575486,Best diagonal Gaussian,5
0.10683738440275192,0.05588844418525696,0.013175477273762226,0.013608574867248535,0.23223670186428297,0.2816940111325383,Product marginals,5
0.33196550607681274,0.23937970399856567,-0.006503369193524122,-0.00859499629586935,0.4502623639044307,0.5373294409787197,WGAN,5
0.058443110436201096,0.018279075622558594,-0.03689025714993477,-0.03729771450161934,0.2120650190209228,0.26407468487454455,Product marginals,6
0.0787675753235817,0.03016623854637146,0.01190351601690054,0.011803995817899704,0.2705058674254882,0.32586123039764453,Best diagonal Gaussian,6
0.10520920157432556,0.0899864137172699,-0.019377581775188446,-0.021300973370671272,0.27711091315559006,0.3291937235798127,WGAN,6
0.03376384824514389,0.02618718147277832,0.009857650846242905,0.009905466809868813,0.20874074156631206,0.2661223735961373,Best diagonal Gaussian,7
0.06573642045259476,0.04000774025917053,0.0013424685457721353,0.0013461799826472998,0.23819177725941162,0.2959887705581998,Product marginals,7
0.1963074952363968,0.05640614032745361,-0.06897196918725967,-0.0684158205986023,0.27679610245909775,0.3431253997774926,WGAN,7
0.039991457015275955,0.05851930379867554,0.030309975147247314,0.031624797731637955,0.2058696980668806,0.2658066502427685,Best diagonal Gaussian,8
0.03558044508099556,0.061972230672836304,-0.018528612330555916,-0.018230369314551353,0.22142571022997104,0.28116557047254714,Product marginals,8
0.23915955424308777,0.02499482035636902,0.017204243689775467,0.016513004899024963,0.33631956171618027,0.3996926981878443,WGAN,8
0.05268271267414093,0.027712613344192505,-0.028248891234397888,-0.02744450606405735,0.18212797084414906,0.23978910976961731,Best diagonal Gaussian,9
0.05981045961380005,0.00426056981086731,0.020287280902266502,0.020341459661722183,0.18490825841429515,0.2462000398699745,Product marginals,9
0.03928245231509209,0.06554776430130005,-0.03215455636382103,-0.034351952373981476,0.21650930191220932,0.2799859850134181,WGAN,9
0.0315302237868309,0.08398944139480591,0.004029253497719765,0.0038842782378196716,0.22852274855388285,0.29250026793335915,Best diagonal Gaussian,10
0.05652362108230591,0.08718627691268921,-0.03166567161679268,-0.030435895547270775,0.2529541055810617,0.3352460183630486,Product marginals,10
0.1683988720178604,0.07073384523391724,-0.004205798264592886,-0.004336776211857796,0.3543021565433935,0.40123968913435965,WGAN,10
0.05574037879705429,0.03302919864654541,-0.015784114599227905,-0.015560454688966274,0.21718535593084232,0.2737435448946324,Best diagonal Gaussian,11
0.0873490497469902,0.054374516010284424,0.01729639060795307,0.01699106954038143,0.22920655948790336,0.27844425637828996,Product marginals,11
0.0838676318526268,0.144273579120636,0.008313732221722603,0.009143681265413761,0.25897909919895884,0.3193462278962918,WGAN,11
0.056113895028829575,0.09503108263015747,0.013981147669255733,0.014999469742178917,0.18677074467521942,0.24139481716064162,Product marginals,12
0.05112043023109436,0.0944439172744751,0.03804536908864975,0.040795277804136276,0.19991203039220862,0.24705448528945084,Best diagonal Gaussian,12
0.22018979489803314,0.08631721138954163,-0.0032836999744176865,-0.0030540376901626587,0.2830489103033131,0.3606208518162996,WGAN,12
0.05570044368505478,0.013380378484725952,-0.046056583523750305,-0.04627645015716553,0.16730878120043668,0.2115197766135183,Best diagonal Gaussian,13
0.07755747437477112,0.023565679788589478,0.012956329621374607,0.013151563704013824,0.1677243584186826,0.21553514474949004,Product marginals,13
0.018439745530486107,0.017752528190612793,-0.03188859671354294,-0.031371016055345535,0.22059842386330977,0.29541197456262014,WGAN,13
0.0317469947040081,0.08721274137496948,0.003989099990576506,0.003977309912443161,0.2005692309601547,0.25542792359260064,Best diagonal Gaussian,14
0.18469011783599854,0.11418381333351135,0.00885014608502388,0.009624792262911797,0.22820266468174102,0.28963477515788744,WGAN,14
0.09108727425336838,0.051264673471450806,-0.017877403646707535,-0.01858174242079258,0.2336776529945308,0.2975773477385294,Product marginals,14
0.005484557244926691,0.007782846689224243,0.02845580317080021,0.028459837660193443,0.16679896526265328,0.21780216822673137,Best diagonal Gaussian,15
0.04235946759581566,0.05943882465362549,-0.015703629702329636,-0.014940349385142326,0.18419977524750034,0.23607302865509383,Product marginals,15
0.356655091047287,0.14309102296829224,-0.006017056293785572,-0.007089931983500719,0.34847444772944086,0.415814944504499,WGAN,15
0.03137257322669029,0.04379957914352417,-0.020422182977199554,-0.020687006413936615,0.17857055554911402,0.2351824282319084,Best diagonal Gaussian,16
0.028327159583568573,0.06602215766906738,-0.007796380668878555,-0.007695431355386972,0.19551610624316426,0.2494556412343659,Product marginals,16
0.03595441207289696,0.0319361686706543,0.024956537410616875,0.024565204977989197,0.2096057337515133,0.2576151011436195,WGAN,16
0.044929906725883484,0.031728893518447876,-0.01573892869055271,-0.016433702781796455,0.16827876339981776,0.21446275474598747,Best diagonal Gaussian,17
0.0312667079269886,0.0227070152759552,-0.04235268011689186,-0.04381459951400757,0.17235744066957195,0.22460735905338783,Product marginals,17
